,5d8564939c1e25000108b508
Pond7Fish2_TotalOutcome,142
Pond7Fish2_TimeLeft,1020.935
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.615384615384615
Pond7Fish3_CatchTime,1.54
Pond7Fish3_PondTime,22.944
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,153
Pond7Fish3_TimeLeft,1013.552
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,1.304
Pond7Fish4_PondTime,30.773
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,164
Pond7Fish4_TimeLeft,1005.723
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,5.454545454545454
Pond7Fish5_CatchTime,1.262
Pond7Fish5_PondTime,39.159
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,175
Pond7Fish5_TimeLeft,997.337
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,6
Pond7Fish6_CatchTime,1.471
Pond7Fish6_PondTime,48.205
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,186
Pond7Fish6_TimeLeft,988.291
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,6.666666666666667
Pond7Fish7_CatchTime,1.273
Pond7Fish7_PondTime,58.082
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,197
Pond7Fish7_TimeLeft,978.414
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,7.5
Pond7Fish8_CatchTime,1.431
Pond7Fish8_PondTime,69.033
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,208
Pond7Fish8_TimeLeft,967.463
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,8.571428571428571
Pond7Fish9_CatchTime,1.439
Pond7Fish9_PondTime,81.416
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,219
Pond7Fish9_TimeLeft,955.08
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,10
Pond7Fish10_CatchTime,1.354
Pond7Fish10_PondTime,95.799
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,230
Pond7Fish10_TimeLeft,940.696
Type,N
FishN,15
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,12
Pond7Fish11_CatchTime,1.122
Pond7Fish11_PondTime,113.181
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,241
Pond7Fish11_TimeLeft,923.315
PondEnd_LastFish,11
FishN,15
Type,N
GiveUpTime,1.213
PondTime,113.723
TimeLeft,922.271
PondOutcome,121
TotalOutcome,241
PondStart,PondStart
PondIntroTime,10.845269719138741
Type,N
FishN,16
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4
Pond4Fish1_CatchTime,1.037
Pond4Fish1_PondTime,8.576
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,252
Pond4Fish1_TimeLeft,902.224
Type,N
FishN,16
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,4.285714285714286
Pond4Fish2_CatchTime,1.265
Pond4Fish2_PondTime,15.576
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,263
Pond4Fish2_TimeLeft,895.225
Type,N
FishN,16
Fish,3
Pond4Fish3_FishType,green
