,5c9a8b09597af60011351647
Pond5Fish5_PondTime,44.683
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,155
Pond5Fish5_TimeLeft,1033.976
Type,RD
FishN,12
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,0.976
Pond5Fish6_PondTime,55.625
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,167
Pond5Fish6_TimeLeft,1023.033
Type,RD
FishN,12
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,0.964
Pond5Fish7_PondTime,68.011
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,179
Pond5Fish7_TimeLeft,1010.648
PondEnd_LastFish,7
FishN,12
Type,RD
GiveUpTime,0.748
PondTime,82.366
TimeLeft,995.782
PondOutcome,74
TotalOutcome,179
PondStart,PondStart
PondIntroTime,17.497256577480584
Type,RT
FishN,15
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,1.708
Pond7Fish1_PondTime,7.63
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,189
Pond7Fish1_TimeLeft,970.026
Type,RT
FishN,15
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,-1
Pond7Fish2_PondTime,13.664
Pond7Fish2_PondOutcome,10
Pond7Fish2_TotalOutcome,189
Pond7Fish2_TimeLeft,963.992
Type,RT
FishN,15
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,0.669
Pond7Fish3_PondTime,19.798
Pond7Fish3_PondOutcome,20
Pond7Fish3_TotalOutcome,199
Pond7Fish3_TimeLeft,957.858
Type,RT
FishN,15
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,0.89
Pond7Fish4_PondTime,26.159
Pond7Fish4_PondOutcome,30
Pond7Fish4_TotalOutcome,209
Pond7Fish4_TimeLeft,951.497
Type,RT
FishN,15
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4
Pond7Fish5_CatchTime,1.382
Pond7Fish5_PondTime,32.805
Pond7Fish5_PondOutcome,40
Pond7Fish5_TotalOutcome,219
Pond7Fish5_TimeLeft,944.851
Type,RT
FishN,15
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,4.285714285714286
Pond7Fish6_CatchTime,1.06
Pond7Fish6_PondTime,39.787
Pond7Fish6_PondOutcome,50
Pond7Fish6_TotalOutcome,229
Pond7Fish6_TimeLeft,937.869
Type,RT
FishN,15
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,4.615384615384615
Pond7Fish7_CatchTime,1.21
Pond7Fish7_PondTime,47.159
Pond7Fish7_PondOutcome,60
Pond7Fish7_TotalOutcome,239
Pond7Fish7_TimeLeft,930.497
Type,RT
FishN,15
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,5
Pond7Fish8_CatchTime,0.631
Pond7Fish8_PondTime,54.987
Pond7Fish8_PondOutcome,70
Pond7Fish8_TotalOutcome,249
Pond7Fish8_TimeLeft,922.669
Type,RT
FishN,15
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,5.454545454545454
Pond7Fish9_CatchTime,0.702
Pond7Fish9_PondTime,63.347
Pond7Fish9_PondOutcome,80
Pond7Fish9_TotalOutcome,259
Pond7Fish9_TimeLeft,914.308
Type,RT
FishN,15
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,6
Pond7Fish10_CatchTime,0.979
Pond7Fish10_PondTime,72.376
Pond7Fish10_PondOutcome,90
Pond7Fish10_TotalOutcome,269
Pond7Fish10_TimeLeft,905.28
Type,RT
FishN,15
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,6.666666666666667
Pond7Fish11_CatchTime,0.92
Pond7Fish11_PondTime,82.251
Pond7Fish11_PondOutcome,100
Pond7Fish11_TotalOutcome,279
Pond7Fish11_TimeLeft,895.405
Type,RT
FishN,15
Fish,12
Pond7Fish12_FishType,purple
Pond7Fish12_FishLatency,7.5
Pond7Fish12_CatchTime,1.187
Pond7Fish12_PondTime,93.191
Pond7Fish12_PondOutcome,110
Pond7Fish12_TotalOutcome,289
Pond7Fish12_TimeLeft,884.464
Type,RT
FishN,15
Fish,13
Pond7Fish13_FishType,purple
Pond7Fish13_FishLatency,8.571428571428571
Pond7Fish13_CatchTime,1.124
Pond7Fish13_PondTime,105.55
Pond7Fish13_PondOutcome,120
Pond7Fish13_TotalOutcome,299
Pond7Fish13_TimeLeft,872.106
Type,RT
FishN,15
Fish,14
Pond7Fish14_FishType,purple
Pond7Fish14_FishLatency,10
Pond7Fish14_CatchTime,1.873
Pond7Fish14_PondTime,120.1
Pond7Fish14_PondOutcome,130
Pond7Fish14_TotalOutcome,309
Pond7Fish14_TimeLeft,857.556
Type,RT
FishN,15
Fish,15
Pond7Fish15_FishType,purple
Pond7Fish15_FishLatency,12
Pond7Fish15_CatchTime,1.449
Pond7Fish15_PondTime,137.458
Pond7Fish15_PondOutcome,140
Pond7Fish15_TotalOutcome,319
Pond7Fish15_TimeLeft,840.198
Type,RT
FishN,15
Fish,16
Pond7Fish16_FishType,golden
Pond7Fish16_FishLatency,15
Pond7Fish16_CatchTime,1.154
Pond7Fish16_PondTime,159.823
Pond7Fish16_PondOutcome,160
Pond7Fish16_TotalOutcome,339
Pond7Fish16_TimeLeft,817.833
Type,RT
FishN,15
Fish,17
Pond7Fish17_FishType,purple
Pond7Fish17_FishLatency,20
Pond7Fish17_CatchTime,1.203
Pond7Fish17_PondTime,192.183
Pond7Fish17_PondOutcome,170
Pond7Fish17_TotalOutcome,349
Pond7Fish17_TimeLeft,785.473
PondEnd_LastFish,17
FishN,15
Type,RT
GiveUpTime,35.304
PondTime,226.899
TimeLeft,750.251
PondOutcome,170
TotalOutcome,349
PondStart,PondStart
PondIntroTime,16.886073825880885
Type,RD
FishN,16
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,1.106
Pond9Fish1_PondTime,7.811
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,361
Pond9Fish1_TimeLeft,723.905
Type,RD
FishN,16
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,0.954
Pond9Fish2_PondTime,13.925
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,373
Pond9Fish2_TimeLeft,717.791
Type,RD
FishN,16
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,3.75
Pond9Fish3_CatchTime,1.072
Pond9Fish3_PondTime,20.285
