,5dfe286653e846ad86a798f8
Pond9Fish11_PondOutcome,110
Pond9Fish11_TotalOutcome,887
Pond9Fish11_TimeLeft,275.638
PondEnd_LastFish,11
FishN,16
Type,N
GiveUpTime,3.864
PondTime,116.731
TimeLeft,271.683
PondOutcome,110
TotalOutcome,887
PondStart,PondStart
PondIntroTime,12.233943506143987
Type,RT
FishN,17
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,1.134
Pond8Fish1_PondTime,8.568
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,897
Pond8Fish1_TimeLeft,250.247
Type,RT
FishN,17
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,1.17
Pond8Fish2_PondTime,15.551
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,907
Pond8Fish2_TimeLeft,243.264
Type,RT
FishN,17
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,0.895
Pond8Fish3_PondTime,22.929
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,917
Pond8Fish3_TimeLeft,235.886
Type,RT
FishN,17
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,1.115
Pond8Fish4_PondTime,30.752
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,927
Pond8Fish4_TimeLeft,228.063
Type,RT
FishN,17
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,1.223
Pond8Fish5_PondTime,39.119
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,937
Pond8Fish5_TimeLeft,219.696
Type,RT
FishN,17
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,1.247
Pond8Fish6_PondTime,48.151
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,947
Pond8Fish6_TimeLeft,210.664
Type,RT
FishN,17
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,1.4
Pond8Fish7_PondTime,58.018
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,957
Pond8Fish7_TimeLeft,200.797
Type,RT
FishN,17
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,1.231
Pond8Fish8_PondTime,68.973
Pond8Fish8_PondOutcome,80
Pond8Fish8_TotalOutcome,967
Pond8Fish8_TimeLeft,189.842
Type,RT
FishN,17
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,8.571428571428571
Pond8Fish9_CatchTime,1.2
Pond8Fish9_PondTime,81.337
Pond8Fish9_PondOutcome,90
Pond8Fish9_TotalOutcome,977
Pond8Fish9_TimeLeft,177.478
Type,RT
FishN,17
Fish,10
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,10
Pond8Fish10_CatchTime,0.917
Pond8Fish10_PondTime,95.715
Pond8Fish10_PondOutcome,100
Pond8Fish10_TotalOutcome,987
Pond8Fish10_TimeLeft,163.1
Type,RT
FishN,17
Fish,11
Pond8Fish11_FishType,purple
Pond8Fish11_FishLatency,12
Pond8Fish11_CatchTime,1.028
Pond8Fish11_PondTime,113.087
Pond8Fish11_PondOutcome,110
Pond8Fish11_TotalOutcome,997
Pond8Fish11_TimeLeft,145.727
PondEnd_LastFish,11
FishN,17
Type,RT
GiveUpTime,16.081
PondTime,128.398
TimeLeft,129.914
PondOutcome,110
TotalOutcome,997
PondStart,PondStart
PondIntroTime,13.1212859461084
Type,RD
FishN,16
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,1.104
Pond4Fish1_PondTime,8.279
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,1009
Pond4Fish1_TimeLeft,107.898
Type,RD
FishN,16
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,1.033
Pond4Fish2_PondTime,14.933
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,1021
Pond4Fish2_TimeLeft,101.244
Type,RD
FishN,16
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,1.353
Pond4Fish3_PondTime,21.92
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,1033
Pond4Fish3_TimeLeft,94.257
Type,RD
FishN,16
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,0.913
Pond4Fish4_PondTime,29.288
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,1045
Pond4Fish4_TimeLeft,86.889
Type,RD
FishN,16
Fish,5
Pond4Fish5_FishType,gray
Pond4Fish5_FishLatency,5
Pond4Fish5_CatchTime,1.247
Pond4Fish5_PondTime,37.105
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,1047
Pond4Fish5_TimeLeft,79.072
Type,RD
FishN,16
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,5.454545454545454
Pond4Fish6_CatchTime,0.977
Pond4Fish6_PondTime,45.474
Pond4Fish6_PondOutcome,62
Pond4Fish6_TotalOutcome,1059
Pond4Fish6_TimeLeft,70.703
Type,RD
FishN,16
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,6
Pond4Fish7_CatchTime,1.164
Pond4Fish7_PondTime,54.507
Pond4Fish7_PondOutcome,74
Pond4Fish7_TotalOutcome,1071
Pond4Fish7_TimeLeft,61.67
Type,RD
FishN,16
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,6.666666666666667
Pond4Fish8_CatchTime,1.196
Pond4Fish8_PondTime,64.374
Pond4Fish8_PondOutcome,86
Pond4Fish8_TotalOutcome,1083
Pond4Fish8_TimeLeft,51.803
Type,RD
FishN,16
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,7.5
Pond4Fish9_CatchTime,1.271
Pond4Fish9_PondTime,75.307
Pond4Fish9_PondOutcome,98
Pond4Fish9_TotalOutcome,1095
Pond4Fish9_TimeLeft,40.87
Type,RD
FishN,16
Fish,10
Pond4Fish10_FishType,gray
Pond4Fish10_FishLatency,8.571428571428571
Pond4Fish10_CatchTime,-1
Pond4Fish10_PondTime,87.74
Pond4Fish10_PondOutcome,98
Pond4Fish10_TotalOutcome,1095
Pond4Fish10_TimeLeft,28.437
PondEnd_LastFish,10
FishN,16
Type,RD
GiveUpTime,14.268
PondTime,89.056
TimeLeft,26.618
PondOutcome,98
TotalOutcome,1095
PondStart,PondStart
PondIntroTime,10.514861100818962
Type,RD
FishN,15
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,4
Pond7Fish1_CatchTime,1.62
Pond7Fish1_PondTime,8.568
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,1107
Pond7Fish1_TimeLeft,6.517
