,5dfe286653e846ad86a798f8
Pond2Fish6_TimeLeft,1066.418
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,0.973
Pond2Fish7_PondTime,47.028
Pond2Fish7_PondOutcome,80
Pond2Fish7_TotalOutcome,160
Pond2Fish7_TimeLeft,1059.038
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,1.485
Pond2Fish8_PondTime,54.861
Pond2Fish8_PondOutcome,90
Pond2Fish8_TotalOutcome,170
Pond2Fish8_TimeLeft,1051.205
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,0.833
Pond2Fish9_PondTime,63.234
Pond2Fish9_PondOutcome,100
Pond2Fish9_TotalOutcome,180
Pond2Fish9_TimeLeft,1042.832
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,1.044
Pond2Fish10_PondTime,72.268
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,190
Pond2Fish10_TimeLeft,1033.798
Type,RT
FishN,12
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,1.235
Pond2Fish11_PondTime,82.134
Pond2Fish11_PondOutcome,120
Pond2Fish11_TotalOutcome,200
Pond2Fish11_TimeLeft,1023.932
Type,RT
FishN,12
Fish,12
Pond2Fish12_FishType,purple
Pond2Fish12_FishLatency,7.5
Pond2Fish12_CatchTime,1.196
Pond2Fish12_PondTime,93.07
Pond2Fish12_PondOutcome,130
Pond2Fish12_TotalOutcome,210
Pond2Fish12_TimeLeft,1012.996
PondEnd_LastFish,12
FishN,12
Type,RT
GiveUpTime,10.608
PondTime,103.074
TimeLeft,1002.488
PondOutcome,130
TotalOutcome,210
PondStart,PondStart
PondIntroTime,19.117170814424753
Type,N
FishN,19
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,1.182
Pond6Fish1_PondTime,8.033
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,221
Pond6Fish1_TimeLeft,974.705
Type,N
FishN,19
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,1.051
Pond6Fish2_PondTime,14.401
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,232
Pond6Fish2_TimeLeft,968.337
Type,N
FishN,19
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4
