,5c5322c607ccef0001939694
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,1.585
Pond5Fish4_PondTime,25.976
Pond5Fish4_PondOutcome,50
Pond5Fish4_TotalOutcome,971
Pond5Fish4_TimeLeft,188.785
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,golden
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,1.436
Pond5Fish5_PondTime,32.624
Pond5Fish5_PondOutcome,70
Pond5Fish5_TotalOutcome,991
Pond5Fish5_TimeLeft,182.137
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,1.325
Pond5Fish6_PondTime,39.605
Pond5Fish6_PondOutcome,80
Pond5Fish6_TotalOutcome,1001
Pond5Fish6_TimeLeft,175.156
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,golden
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,1.462
Pond5Fish7_PondTime,46.97
Pond5Fish7_PondOutcome,100
Pond5Fish7_TotalOutcome,1021
Pond5Fish7_TimeLeft,167.791
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,1.444
Pond5Fish8_PondTime,54.783
Pond5Fish8_PondOutcome,110
Pond5Fish8_TotalOutcome,1031
Pond5Fish8_TimeLeft,159.978
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,golden
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,1.214
Pond5Fish9_PondTime,63.146
Pond5Fish9_PondOutcome,130
Pond5Fish9_TotalOutcome,1051
Pond5Fish9_TimeLeft,151.615
Type,RT
FishN,12
Fish,10
Pond5Fish10_FishType,golden
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,1.192
Pond5Fish10_PondTime,72.177
Pond5Fish10_PondOutcome,150
Pond5Fish10_TotalOutcome,1071
Pond5Fish10_TimeLeft,142.583
Type,RT
FishN,12
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,6.666666666666667
Pond5Fish11_CatchTime,0.986
Pond5Fish11_PondTime,82.044
Pond5Fish11_PondOutcome,160
Pond5Fish11_TotalOutcome,1081
Pond5Fish11_TimeLeft,132.717
Type,RT
FishN,12
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,7.5
Pond5Fish12_CatchTime,1.242
Pond5Fish12_PondTime,92.989
Pond5Fish12_PondOutcome,170
Pond5Fish12_TotalOutcome,1091
Pond5Fish12_TimeLeft,121.772
PondEnd_LastFish,12
FishN,12
Type,RT
GiveUpTime,1.1
PondTime,93.534
TimeLeft,120.724
PondOutcome,170
TotalOutcome,1091
PondStart,PondStart
PondIntroTime,17.850076982285827
Type,RD
FishN,16
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.75
Pond9Fish1_CatchTime,1.402
Pond9Fish1_PondTime,8.282
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,1103
Pond9Fish1_TimeLeft,93.966
Type,RD
FishN,16
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4
Pond9Fish2_CatchTime,1.135
Pond9Fish2_PondTime,14.93
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,1115
Pond9Fish2_TimeLeft,87.319
Type,RD
FishN,16
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.285714285714286
Pond9Fish3_CatchTime,1.201
Pond9Fish3_PondTime,21.914
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,1127
Pond9Fish3_TimeLeft,80.335
Type,RD
FishN,16
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4.615384615384615
Pond9Fish4_CatchTime,1.247
Pond9Fish4_PondTime,29.279
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,1139
Pond9Fish4_TimeLeft,72.97
Type,RD
FishN,16
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5
Pond9Fish5_CatchTime,1.077
Pond9Fish5_PondTime,37.089
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,1151
Pond9Fish5_TimeLeft,65.16
Type,RD
FishN,16
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,5.454545454545454
Pond9Fish6_CatchTime,1.49
Pond9Fish6_PondTime,45.453
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,1163
Pond9Fish6_TimeLeft,56.796
Type,RD
FishN,16
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,6
Pond9Fish7_CatchTime,1.335
Pond9Fish7_PondTime,54.483
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,1175
Pond9Fish7_TimeLeft,47.766
Type,RD
FishN,16
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,6.666666666666667
Pond9Fish8_CatchTime,1.276
Pond9Fish8_PondTime,64.362
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,1187
Pond9Fish8_TimeLeft,37.887
Type,RD
FishN,16
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,7.5
Pond9Fish9_CatchTime,1.051
Pond9Fish9_PondTime,75.296
Pond9Fish9_PondOutcome,108
Pond9Fish9_TotalOutcome,1199
Pond9Fish9_TimeLeft,26.953
Type,RD
FishN,16
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,8.571428571428571
Pond9Fish10_CatchTime,1.288
Pond9Fish10_PondTime,87.653
Pond9Fish10_PondOutcome,120
Pond9Fish10_TotalOutcome,1211
Pond9Fish10_TimeLeft,14.595
PondEnd_LastFish,10
FishN,16
Type,RD
GiveUpTime,10.641
PondTime,97.793
TimeLeft,3.953
PondOutcome,120
TotalOutcome,1211
PondStart,PondStart
PondIntroTime,17.6990802353248
