,5d2181c7ef44b700015f022f
FishN,12
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,1.001
Pond2Fish4_PondTime,37.369
Pond2Fish4_PondOutcome,38
Pond2Fish4_TotalOutcome,194
Pond2Fish4_TimeLeft,974.916
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,1.489
Pond2Fish5_PondTime,48.406
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,206
Pond2Fish5_TimeLeft,963.879
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,8.571428571428571
Pond2Fish6_CatchTime,1.061
Pond2Fish6_PondTime,60.875
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,218
Pond2Fish6_TimeLeft,951.41
Type,RD
FishN,12
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,10
Pond2Fish7_CatchTime,1.063
Pond2Fish7_PondTime,75.342
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,230
Pond2Fish7_TimeLeft,936.943
Type,RD
FishN,12
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,12
Pond2Fish8_CatchTime,1.313
Pond2Fish8_PondTime,92.783
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,242
Pond2Fish8_TimeLeft,919.502
Type,RD
FishN,12
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,15
Pond2Fish9_CatchTime,1.093
Pond2Fish9_PondTime,115.244
Pond2Fish9_PondOutcome,98
Pond2Fish9_TotalOutcome,254
Pond2Fish9_TimeLeft,897.041
PondEnd_LastFish,9
FishN,12
Type,RD
GiveUpTime,30.258
PondTime,144.811
TimeLeft,866.967
PondOutcome,98
TotalOutcome,254
PondStart,PondStart
PondIntroTime,15.440148953348398
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,0.78
Pond3Fish1_PondTime,9.401
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,266
Pond3Fish1_TimeLeft,841.476
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,1.393
Pond3Fish2_PondTime,17.271
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,278
Pond3Fish2_TimeLeft,833.606
Type,RD
FishN,19
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,1.446
Pond3Fish3_PondTime,25.713
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,290
Pond3Fish3_TimeLeft,825.164
Type,RD
FishN,19
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,0.94
Pond3Fish4_PondTime,34.806
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,302
Pond3Fish4_TimeLeft,816.071
Type,RD
FishN,19
Fish,5
Pond3Fish5_FishType,gray
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,1.09
Pond3Fish5_PondTime,44.735
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,304
Pond3Fish5_TimeLeft,806.142
Type,RD
FishN,19
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,0.964
Pond3Fish6_PondTime,55.757
Pond3Fish6_PondOutcome,62
Pond3Fish6_TotalOutcome,316
Pond3Fish6_TimeLeft,795.12
Type,RD
FishN,19
Fish,7
Pond3Fish7_FishType,gray
