,5cefbe6f1234ed0001970821
PondOutcome,110
TotalOutcome,933
PondStart,PondStart
PondIntroTime,12.253341160248965
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,0.999
Pond5Fish1_PondTime,7.631
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,943
Pond5Fish1_TimeLeft,328.568
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,1.07
Pond5Fish2_PondTime,13.569
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,953
Pond5Fish2_TimeLeft,322.63
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,1.037
Pond5Fish3_PondTime,19.717
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,963
Pond5Fish3_TimeLeft,316.482
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.966
Pond5Fish4_PondTime,26.107
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,973
Pond5Fish4_TimeLeft,310.092
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,1.001
Pond5Fish5_PondTime,32.802
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,983
Pond5Fish5_TimeLeft,303.397
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,0.968
Pond5Fish6_PondTime,39.838
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,993
Pond5Fish6_TimeLeft,296.361
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,1.195
Pond5Fish7_PondTime,47.228
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,1003
Pond5Fish7_TimeLeft,288.971
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,golden
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,0.635
Pond5Fish8_PondTime,54.058
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,1023
Pond5Fish8_TimeLeft,282.141
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,1.054
Pond5Fish9_PondTime,62.497
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,1033
Pond5Fish9_TimeLeft,273.702
Type,RT
FishN,12
Fish,10
Pond5Fish10_FishType,golden
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,0.854
Pond5Fish10_PondTime,71.612
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,1053
Pond5Fish10_TimeLeft,264.587
Type,RT
FishN,12
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,6.666666666666667
Pond5Fish11_CatchTime,0.999
Pond5Fish11_PondTime,81.518
Pond5Fish11_PondOutcome,130
Pond5Fish11_TotalOutcome,1063
Pond5Fish11_TimeLeft,254.681
Type,RT
FishN,12
Fish,12
Pond5Fish12_FishType,golden
Pond5Fish12_FishLatency,7.5
Pond5Fish12_CatchTime,0.887
Pond5Fish12_PondTime,92.516
Pond5Fish12_PondOutcome,150
Pond5Fish12_TotalOutcome,1083
Pond5Fish12_TimeLeft,243.683
Type,RT
FishN,12
Fish,13
Pond5Fish13_FishType,purple
Pond5Fish13_FishLatency,8.571428571428571
Pond5Fish13_CatchTime,1.118
Pond5Fish13_PondTime,104.916
Pond5Fish13_PondOutcome,160
Pond5Fish13_TotalOutcome,1093
Pond5Fish13_TimeLeft,231.283
PondEnd_LastFish,13
FishN,12
Type,RT
GiveUpTime,0.78
PondTime,123.773
TimeLeft,211.924
PondOutcome,160
TotalOutcome,1093
PondStart,PondStart
PondIntroTime,18.577916021458805
Type,RT
FishN,16
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,0.871
Pond9Fish1_PondTime,9.759
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,1103
Pond9Fish1_TimeLeft,182.942
Type,RT
FishN,16
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,0.917
Pond9Fish2_PondTime,18.163
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,1113
Pond9Fish2_TimeLeft,174.538
Type,RT
FishN,16
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,0.789
Pond9Fish3_PondTime,27.21
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,1123
Pond9Fish3_TimeLeft,165.491
Type,RT
FishN,16
Fish,4
Pond9Fish4_FishType,golden
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,0.741
Pond9Fish4_PondTime,23.354
Pond9Fish4_PondOutcome,50
Pond9Fish4_TotalOutcome,1143
Pond9Fish4_TimeLeft,169.347
Type,RT
FishN,16
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,0.985
Pond9Fish5_PondTime,34.313
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,1153
Pond9Fish5_TimeLeft,158.388
Type,RT
FishN,16
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,0.907
Pond9Fish6_PondTime,46.701
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,1163
Pond9Fish6_TimeLeft,146
PondEnd_LastFish,6
FishN,16
Type,RT
GiveUpTime,0.588
PondTime,60.966
TimeLeft,131.233
PondOutcome,70
TotalOutcome,1163
PondStart,PondStart
PondIntroTime,13.668957026675344
Type,RT
FishN,19
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.3333333333333335
Pond10Fish1_CatchTime,0.991
Pond10Fish1_PondTime,23.381
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,1173
Pond10Fish1_TimeLeft,93.514
Type,RT
FishN,19
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,3.5294117647058822
Pond10Fish2_CatchTime,0.823
Pond10Fish2_PondTime,29.53
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,1183
Pond10Fish2_TimeLeft,87.366
Type,RT
FishN,19
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,3.75
Pond10Fish3_CatchTime,0.892
Pond10Fish3_PondTime,35.945
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,1193
Pond10Fish3_TimeLeft,80.951
Type,RT
FishN,19
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,4
Pond10Fish4_CatchTime,1.133
Pond10Fish4_PondTime,42.662
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,1203
Pond10Fish4_TimeLeft,74.233
Type,RT
FishN,19
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,4.285714285714286
Pond10Fish5_CatchTime,0.922
Pond10Fish5_PondTime,49.701
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,1213
Pond10Fish5_TimeLeft,67.195
Type,RT
FishN,19
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,4.615384615384615
Pond10Fish6_CatchTime,0.852
Pond10Fish6_PondTime,57.147
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,1223
Pond10Fish6_TimeLeft,59.749
Type,RT
FishN,19
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,5
Pond10Fish7_CatchTime,0.919
Pond10Fish7_PondTime,65.003
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,1233
Pond10Fish7_TimeLeft,51.893
Type,RT
FishN,19
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,5.454545454545454
Pond10Fish8_CatchTime,0.867
Pond10Fish8_PondTime,73.423
Pond10Fish8_PondOutcome,80
Pond10Fish8_TotalOutcome,1243
Pond10Fish8_TimeLeft,43.473
Type,RT
FishN,19
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,6
Pond10Fish9_CatchTime,0.998
Pond10Fish9_PondTime,80.598
Pond10Fish9_PondOutcome,90
Pond10Fish9_TotalOutcome,1253
Pond10Fish9_TimeLeft,36.298
Type,RT
FishN,19
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,6.666666666666667
Pond10Fish10_CatchTime,0.782
Pond10Fish10_PondTime,90.522
Pond10Fish10_PondOutcome,100
Pond10Fish10_TotalOutcome,1263
Pond10Fish10_TimeLeft,26.374
Type,RT
FishN,19
Fish,11
Pond10Fish11_FishType,golden
Pond10Fish11_FishLatency,7.5
Pond10Fish11_CatchTime,0.918
Pond10Fish11_PondTime,101.551
Pond10Fish11_PondOutcome,120
Pond10Fish11_TotalOutcome,1283
Pond10Fish11_TimeLeft,15.345
Type,RT
FishN,19
Fish,12
Pond10Fish12_FishType,purple
Pond10Fish12_FishLatency,8.571428571428571
Pond10Fish12_CatchTime,0.979
Pond10Fish12_PondTime,113.937
Pond10Fish12_PondOutcome,130
Pond10Fish12_TotalOutcome,1293
Pond10Fish12_TimeLeft,2.959
