,5cefbe6f1234ed0001970821
Pond12Fish6_TimeLeft,1091.742
Type,RD
FishN,13
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,5.454545454545454
Pond12Fish7_CatchTime,1.221
Pond12Fish7_PondTime,51.981
Pond12Fish7_PondOutcome,74
Pond12Fish7_TotalOutcome,173
Pond12Fish7_TimeLeft,1083.298
Type,RD
FishN,13
Fish,8
Pond12Fish8_FishType,gray
Pond12Fish8_FishLatency,6
Pond12Fish8_CatchTime,0.914
Pond12Fish8_PondTime,73.44
Pond12Fish8_PondOutcome,76
Pond12Fish8_TotalOutcome,175
Pond12Fish8_TimeLeft,1061.839
Type,RD
FishN,13
Fish,9
Pond12Fish9_FishType,gray
Pond12Fish9_FishLatency,6.666666666666667
Pond12Fish9_CatchTime,1.185
Pond12Fish9_PondTime,83.383
Pond12Fish9_PondOutcome,78
Pond12Fish9_TotalOutcome,177
Pond12Fish9_TimeLeft,1051.896
Type,RD
FishN,13
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,7.5
Pond12Fish10_CatchTime,0.905
Pond12Fish10_PondTime,94.35
Pond12Fish10_PondOutcome,90
Pond12Fish10_TotalOutcome,189
Pond12Fish10_TimeLeft,1040.929
PondEnd_LastFish,10
FishN,13
Type,RD
GiveUpTime,1.891
PondTime,95.357
TimeLeft,1039.417
PondOutcome,90
TotalOutcome,189
PondStart,PondStart
PondIntroTime,10.08663883432746
Type,N
FishN,14
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.1578947368421053
Pond11Fish1_CatchTime,1.04
Pond11Fish1_PondTime,7.636
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,200
Pond11Fish1_TimeLeft,1021.013
Type,N
FishN,14
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.3333333333333335
Pond11Fish2_CatchTime,0.727
Pond11Fish2_PondTime,13.559
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,211
Pond11Fish2_TimeLeft,1015.09
Type,N
FishN,14
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,3.5294117647058822
Pond11Fish3_CatchTime,0.81
Pond11Fish3_PondTime,19.701
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,222
Pond11Fish3_TimeLeft,1008.948
Type,N
FishN,14
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,3.75
Pond11Fish4_CatchTime,1.533
Pond11Fish4_PondTime,26.9
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,233
Pond11Fish4_TimeLeft,1001.749
Type,N
FishN,14
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4
Pond11Fish5_CatchTime,1.135
Pond11Fish5_PondTime,33.602
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,244
Pond11Fish5_TimeLeft,995.047
Type,N
FishN,14
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,4.285714285714286
Pond11Fish6_CatchTime,1.003
Pond11Fish6_PondTime,40.642
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,255
Pond11Fish6_TimeLeft,988.007
Type,N
FishN,14
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,4.615384615384615
Pond11Fish7_CatchTime,1.076
Pond11Fish7_PondTime,48.038
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,266
Pond11Fish7_TimeLeft,980.611
Type,N
FishN,14
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,5
Pond11Fish8_CatchTime,1.198
Pond11Fish8_PondTime,55.921
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,277
Pond11Fish8_TimeLeft,972.728
Type,N
FishN,14
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,5.454545454545454
Pond11Fish9_CatchTime,0.939
Pond11Fish9_PondTime,64.3
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,288
Pond11Fish9_TimeLeft,964.349
Type,N
FishN,14
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,6
Pond11Fish10_CatchTime,0.878
Pond11Fish10_PondTime,73.36
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,299
Pond11Fish10_TimeLeft,955.289
Type,N
FishN,14
Fish,11
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,6.666666666666667
Pond11Fish11_CatchTime,0.949
Pond11Fish11_PondTime,83.269
Pond11Fish11_PondOutcome,121
Pond11Fish11_TotalOutcome,310
Pond11Fish11_TimeLeft,945.38
Type,N
FishN,14
Fish,12
Pond11Fish12_FishType,green
Pond11Fish12_FishLatency,7.5
Pond11Fish12_CatchTime,1.036
Pond11Fish12_PondTime,79.907
Pond11Fish12_PondOutcome,132
Pond11Fish12_TotalOutcome,321
Pond11Fish12_TimeLeft,948.742
PondEnd_LastFish,12
FishN,14
Type,N
GiveUpTime,1.238
PondTime,80.386
TimeLeft,947.76
PondOutcome,132
TotalOutcome,321
