,5cc555d346fb4500171c0a9e
Pond11Fish3_TotalOutcome,138
Pond11Fish3_TimeLeft,1058.886
Type,RD
FishN,14
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,0.652
Pond11Fish4_PondTime,26.934
Pond11Fish4_PondOutcome,38
Pond11Fish4_TotalOutcome,150
Pond11Fish4_TimeLeft,1052.235
Type,RD
FishN,14
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,0.671
Pond11Fish5_PondTime,33.918
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,162
Pond11Fish5_TimeLeft,1045.251
Type,RD
FishN,14
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,1.524
Pond11Fish6_PondTime,41.284
Pond11Fish6_PondOutcome,62
Pond11Fish6_TotalOutcome,174
Pond11Fish6_TimeLeft,1037.885
Type,RD
FishN,14
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,-1
Pond11Fish7_PondTime,49.151
Pond11Fish7_PondOutcome,62
Pond11Fish7_TotalOutcome,174
Pond11Fish7_TimeLeft,1030.018
Type,RD
FishN,14
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,0.534
Pond11Fish8_PondTime,57.518
Pond11Fish8_PondOutcome,74
Pond11Fish8_TotalOutcome,186
Pond11Fish8_TimeLeft,1021.651
Type,RD
FishN,14
Fish,9
Pond11Fish9_FishType,gray
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,1.146
Pond11Fish9_PondTime,66.552
Pond11Fish9_PondOutcome,76
Pond11Fish9_TotalOutcome,188
Pond11Fish9_TimeLeft,1012.617
PondEnd_LastFish,9
FishN,14
Type,RD
GiveUpTime,0.568
PondTime,76.068
TimeLeft,1002.597
PondOutcome,76
TotalOutcome,188
PondStart,PondStart
PondIntroTime,10.621160103473812
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.75
Pond6Fish1_CatchTime,1.17
Pond6Fish1_PondTime,8.268
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,198
Pond6Fish1_TimeLeft,983.084
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,4
Pond6Fish2_CatchTime,0.822
Pond6Fish2_PondTime,14.917
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,208
Pond6Fish2_TimeLeft,976.435
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4.285714285714286
Pond6Fish3_CatchTime,1.013
Pond6Fish3_PondTime,21.885
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,218
Pond6Fish3_TimeLeft,969.467
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4.615384615384615
Pond6Fish4_CatchTime,0.837
Pond6Fish4_PondTime,29.253
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,228
Pond6Fish4_TimeLeft,962.099
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,5
Pond6Fish5_CatchTime,0.872
Pond6Fish5_PondTime,37.069
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,238
Pond6Fish5_TimeLeft,954.283
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,5.454545454545454
Pond6Fish6_CatchTime,0.769
Pond6Fish6_PondTime,45.434
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,248
Pond6Fish6_TimeLeft,945.918
Type,RT
FishN,19
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,6
Pond6Fish7_CatchTime,0.865
Pond6Fish7_PondTime,54.471
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,258
Pond6Fish7_TimeLeft,936.881
PondEnd_LastFish,7
FishN,19
Type,RT
GiveUpTime,0.573
PondTime,63.908
TimeLeft,926.942
PondOutcome,70
TotalOutcome,258
PondStart,PondStart
PondIntroTime,19.6388106723316
Type,N
FishN,12
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.5294117647058822
Pond2Fish1_CatchTime,0.862
Pond2Fish1_PondTime,8.018
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,269
Pond2Fish1_TimeLeft,898.665
Type,N
FishN,12
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.75
Pond2Fish2_CatchTime,0.901
Pond2Fish2_PondTime,14.385
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,280
Pond2Fish2_TimeLeft,892.298
Type,N
FishN,12
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,4
Pond2Fish3_CatchTime,0.977
Pond2Fish3_PondTime,21.034
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,291
Pond2Fish3_TimeLeft,885.649
Type,N
FishN,12
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4.285714285714286
Pond2Fish4_CatchTime,0.76
Pond2Fish4_PondTime,28.018
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,302
Pond2Fish4_TimeLeft,878.665
Type,N
FishN,12
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,4.615384615384615
Pond2Fish5_CatchTime,0.717
Pond2Fish5_PondTime,35.385
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,313
Pond2Fish5_TimeLeft,871.298
Type,N
FishN,12
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,5
Pond2Fish6_CatchTime,0.568
Pond2Fish6_PondTime,43.201
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,324
Pond2Fish6_TimeLeft,863.482
Type,N
FishN,12
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,5.454545454545454
Pond2Fish7_CatchTime,1.013
Pond2Fish7_PondTime,51.569
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,335
Pond2Fish7_TimeLeft,855.114
Type,N
FishN,12
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,6
Pond2Fish8_CatchTime,0.948
Pond2Fish8_PondTime,60.601
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,346
Pond2Fish8_TimeLeft,846.082
Type,N
FishN,12
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,6.666666666666667
Pond2Fish9_CatchTime,0.944
Pond2Fish9_PondTime,70.471
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,357
Pond2Fish9_TimeLeft,836.212
Type,N
FishN,12
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,7.5
Pond2Fish10_CatchTime,0.968
Pond2Fish10_PondTime,81.405
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,368
Pond2Fish10_TimeLeft,825.278
PondEnd_LastFish,10
FishN,12
Type,N
GiveUpTime,0.502
PondTime,93.12
TimeLeft,813.061
PondOutcome,110
TotalOutcome,368
PondStart,PondStart
PondIntroTime,15.410629310645163
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,0.819
Pond10Fish1_PondTime,7.6
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,380
Pond10Fish1_TimeLeft,788.397
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,0.952
Pond10Fish2_PondTime,13.485
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,392
Pond10Fish2_TimeLeft,782.512
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,0.669
Pond10Fish3_PondTime,19.6
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,404
Pond10Fish3_TimeLeft,776.397
Type,RD
FishN,19
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,0.856
Pond10Fish4_PondTime,25.968
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,416
Pond10Fish4_TimeLeft,770.029
Type,RD
FishN,19
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,0.627
Pond10Fish5_PondTime,32.619
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,428
Pond10Fish5_TimeLeft,763.378
Type,RD
FishN,19
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,0.867
Pond10Fish6_PondTime,39.601
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,440
Pond10Fish6_TimeLeft,756.396
Type,RD
FishN,19
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,0.942
Pond10Fish7_PondTime,46.968
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,452
Pond10Fish7_TimeLeft,749.029
Type,RD
FishN,19
Fish,8
Pond10Fish8_FishType,gray
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,0.686
Pond10Fish8_PondTime,54.784
Pond10Fish8_PondOutcome,86
Pond10Fish8_TotalOutcome,454
Pond10Fish8_TimeLeft,741.213
Type,RD
FishN,19
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,0.738
Pond10Fish9_PondTime,63.152
Pond10Fish9_PondOutcome,98
Pond10Fish9_TotalOutcome,466
Pond10Fish9_TimeLeft,732.845
PondEnd_LastFish,9
FishN,19
Type,RD
GiveUpTime,0.581
PondTime,71.564
TimeLeft,723.931
PondOutcome,98
TotalOutcome,466
PondStart,PondStart
PondIntroTime,11.078189285472035
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.1578947368421053
Pond12Fish1_CatchTime,0.898
Pond12Fish1_PondTime,7.601
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,478
Pond12Fish1_TimeLeft,704.629
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.3333333333333335
Pond12Fish2_CatchTime,1.007
Pond12Fish2_PondTime,13.501
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,490
Pond12Fish2_TimeLeft,698.728
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,3.5294117647058822
Pond12Fish3_CatchTime,0.902
Pond12Fish3_PondTime,19.618
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,502
Pond12Fish3_TimeLeft,692.612
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,3.75
Pond12Fish4_CatchTime,0.781
Pond12Fish4_PondTime,25.984
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,514
Pond12Fish4_TimeLeft,686.246
Type,RD
FishN,13
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,4
Pond12Fish5_CatchTime,0.816
Pond12Fish5_PondTime,32.636
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,526
Pond12Fish5_TimeLeft,679.594
Type,RD
FishN,13
Fish,6
Pond12Fish6_FishType,gray
Pond12Fish6_FishLatency,4.285714285714286
Pond12Fish6_CatchTime,0.789
Pond12Fish6_PondTime,39.619
Pond12Fish6_PondOutcome,62
Pond12Fish6_TotalOutcome,528
Pond12Fish6_TimeLeft,672.611
Type,RD
FishN,13
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,4.615384615384615
Pond12Fish7_CatchTime,0.843
Pond12Fish7_PondTime,46.986
Pond12Fish7_PondOutcome,74
Pond12Fish7_TotalOutcome,540
Pond12Fish7_TimeLeft,665.244
Type,RD
FishN,13
Fish,8
Pond12Fish8_FishType,blue
