,5c4c9ecead4660000191257b
PlayerDetails,5c4c9ecead4660000191257b
GameCompleted,finished
Selected ponds in the game,=======
Pond4_Type,RD
Pond4_#Fishes,18
Pond8_Type,RD
Pond8_#Fishes,18
Pond6_Type,RD
Pond6_#Fishes,15
Pond12_Type,RD
Pond12_#Fishes,15
Pond1_Type,RD
Pond1_#Fishes,12
Pond5_Type,RD
Pond5_#Fishes,12
Pond3_Type,RD
Pond3_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:28:39 GMT+0100 (czas środkowoeuropejski standardowy)
Type,RD
FishN,16
Fish,1
Pond4Fish1_FishType,gray
Pond4Fish1_FishLatency,3.3333333333333335
Pond4Fish1_CatchTime,1.107
Pond4Fish1_PondTime,7.802
Pond4Fish1_PondOutcome,2
Pond4Fish1_TotalOutcome,2
Pond4Fish1_TimeLeft,1194.598
Type,RD
FishN,16
Fish,2
Pond4Fish2_FishType,gray
Pond4Fish2_FishLatency,3.5294117647058822
Pond4Fish2_CatchTime,1.161
Pond4Fish2_PondTime,13.94
Pond4Fish2_PondOutcome,4
Pond4Fish2_TotalOutcome,4
Pond4Fish2_TimeLeft,1188.46
Type,RD
FishN,16
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,3.75
Pond4Fish3_CatchTime,0.822
Pond4Fish3_PondTime,20.295
Pond4Fish3_PondOutcome,16
Pond4Fish3_TotalOutcome,16
Pond4Fish3_TimeLeft,1182.105
Type,RD
FishN,16
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4
Pond4Fish4_CatchTime,0.733
Pond4Fish4_PondTime,26.968
Pond4Fish4_PondOutcome,28
Pond4Fish4_TotalOutcome,28
Pond4Fish4_TimeLeft,1175.432
Type,RD
FishN,16
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,4.285714285714286
Pond4Fish5_CatchTime,0.956
Pond4Fish5_PondTime,33.944
Pond4Fish5_PondOutcome,40
Pond4Fish5_TotalOutcome,40
Pond4Fish5_TimeLeft,1168.456
Type,RD
FishN,16
Fish,6
Pond4Fish6_FishType,gray
Pond4Fish6_FishLatency,4.615384615384615
Pond4Fish6_CatchTime,0.991
Pond4Fish6_PondTime,41.32
Pond4Fish6_PondOutcome,42
Pond4Fish6_TotalOutcome,42
Pond4Fish6_TimeLeft,1161.08
Type,RD
FishN,16
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,5
Pond4Fish7_CatchTime,0.978
Pond4Fish7_PondTime,49.149
Pond4Fish7_PondOutcome,54
Pond4Fish7_TotalOutcome,54
Pond4Fish7_TimeLeft,1153.251
Type,RD
FishN,16
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,5.454545454545454
Pond4Fish8_CatchTime,1.045
