,5c9c7cc072bf7f0017b6b798
PondIntroTime,12.85598374903202
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,1.067
Pond12Fish1_PondTime,9.272
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,911
Pond12Fish1_TimeLeft,88.049
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,0.819
Pond12Fish2_PondTime,17.109
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,923
Pond12Fish2_TimeLeft,80.211
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,0.844
Pond12Fish3_PondTime,25.488
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,935
Pond12Fish3_TimeLeft,71.833
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,0.804
Pond12Fish4_PondTime,34.528
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,947
Pond12Fish4_TimeLeft,62.793
Type,RD
FishN,13
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,1.052
Pond12Fish5_PondTime,44.41
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,959
Pond12Fish5_TimeLeft,52.911
Type,RD
FishN,13
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,7.5
Pond12Fish6_CatchTime,1.15
Pond12Fish6_PondTime,55.375
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,971
Pond12Fish6_TimeLeft,41.946
Type,RD
FishN,13
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,8.571428571428571
Pond12Fish7_CatchTime,1.101
Pond12Fish7_PondTime,67.737
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,983
Pond12Fish7_TimeLeft,29.584
Type,RD
FishN,13
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,10
Pond12Fish8_CatchTime,0.983
Pond12Fish8_PondTime,82.119
Pond12Fish8_PondOutcome,96
Pond12Fish8_TotalOutcome,995
Pond12Fish8_TimeLeft,15.202
