,dsahay
Pond6Fish8_PondOutcome,77
Pond6Fish8_TotalOutcome,154
Pond6Fish8_TimeLeft,989.886
Type,N
FishN,19
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,15
Pond6Fish9_CatchTime,1.79
Pond6Fish9_PondTime,114.609
Pond6Fish9_PondOutcome,88
Pond6Fish9_TotalOutcome,165
Pond6Fish9_TimeLeft,967.42
PondEnd_LastFish,9
FishN,19
Type,N
GiveUpTime,22.909
PondTime,137.417
TimeLeft,944.11
PondOutcome,88
TotalOutcome,165
PondStart,PondStart
PondIntroTime,14.4810746377334
Type,RD
FishN,15
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,1.129
Pond7Fish1_PondTime,7.609
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,177
Pond7Fish1_TimeLeft,921.404
Type,RD
FishN,15
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,1.391
Pond7Fish2_PondTime,13.496
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,189
Pond7Fish2_TimeLeft,915.517
Type,RD
FishN,15
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,1.146
Pond7Fish3_PondTime,19.621
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,201
Pond7Fish3_TimeLeft,909.392
Type,RD
FishN,15
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,1.151
Pond7Fish4_PondTime,25.993
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,213
Pond7Fish4_TimeLeft,903.02
Type,RD
FishN,15
Fish,5
Pond7Fish5_FishType,gray
Pond7Fish5_FishLatency,4
Pond7Fish5_CatchTime,1.335
Pond7Fish5_PondTime,32.648
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,215
Pond7Fish5_TimeLeft,896.365
Type,RD
FishN,15
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,4.285714285714286
Pond7Fish6_CatchTime,1.541
Pond7Fish6_PondTime,39.63
Pond7Fish6_PondOutcome,62
Pond7Fish6_TotalOutcome,227
Pond7Fish6_TimeLeft,889.383
Type,RD
FishN,15
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,4.615384615384615
Pond7Fish7_CatchTime,1.266
Pond7Fish7_PondTime,47.002
Pond7Fish7_PondOutcome,74
Pond7Fish7_TotalOutcome,239
Pond7Fish7_TimeLeft,882.011
Type,RD
FishN,15
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,5
Pond7Fish8_CatchTime,1.149
Pond7Fish8_PondTime,54.832
Pond7Fish8_PondOutcome,86
Pond7Fish8_TotalOutcome,251
Pond7Fish8_TimeLeft,874.181
Type,RD
FishN,15
Fish,9
Pond7Fish9_FishType,gray
Pond7Fish9_FishLatency,5.454545454545454
Pond7Fish9_CatchTime,1.022
Pond7Fish9_PondTime,63.197
Pond7Fish9_PondOutcome,88
Pond7Fish9_TotalOutcome,253
Pond7Fish9_TimeLeft,865.816
Type,RD
FishN,15
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,6
Pond7Fish10_CatchTime,1.368
Pond7Fish10_PondTime,72.236
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,265
Pond7Fish10_TimeLeft,856.777
Type,RD
FishN,15
Fish,11
Pond7Fish11_FishType,blue
Pond7Fish11_FishLatency,6.666666666666667
Pond7Fish11_CatchTime,1.426
Pond7Fish11_PondTime,82.113
Pond7Fish11_PondOutcome,112
Pond7Fish11_TotalOutcome,277
Pond7Fish11_TimeLeft,846.9
Type,RD
FishN,15
Fish,12
Pond7Fish12_FishType,blue
Pond7Fish12_FishLatency,7.5
Pond7Fish12_CatchTime,1.184
Pond7Fish12_PondTime,93.05
Pond7Fish12_PondOutcome,124
Pond7Fish12_TotalOutcome,289
Pond7Fish12_TimeLeft,835.963
Type,RD
FishN,15
Fish,13
Pond7Fish13_FishType,blue
Pond7Fish13_FishLatency,8.571428571428571
Pond7Fish13_CatchTime,1.265
Pond7Fish13_PondTime,105.414
Pond7Fish13_PondOutcome,136
Pond7Fish13_TotalOutcome,301
Pond7Fish13_TimeLeft,823.599
Type,RD
FishN,15
Fish,14
Pond7Fish14_FishType,blue
Pond7Fish14_FishLatency,10
Pond7Fish14_CatchTime,1.334
Pond7Fish14_PondTime,119.784
Pond7Fish14_PondOutcome,148
Pond7Fish14_TotalOutcome,313
