,5b62ceb8e04cbf0001407a5d
Pond10Fish3_CatchTime,1.209
Pond10Fish3_PondTime,24.087
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,883
Pond10Fish3_TimeLeft,213.59
PondEnd_LastFish,3
FishN,19
Type,RD
GiveUpTime,2.418
PondTime,25.91
TimeLeft,211.265
PondOutcome,36
TotalOutcome,883
PondStart,PondStart
PondIntroTime,11.335737647023052
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.552
Pond8Fish1_PondTime,9.272
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,895
Pond8Fish1_TimeLeft,190.032
Type,RD
FishN,17
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.25
Pond8Fish2_PondTime,17.1
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,907
Pond8Fish2_TimeLeft,182.204
Type,RD
FishN,17
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,1.035
Pond8Fish3_PondTime,25.471
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,919
Pond8Fish3_TimeLeft,173.833
Type,RD
FishN,17
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,1.351
Pond8Fish4_PondTime,34.513
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,931
Pond8Fish4_TimeLeft,164.791
Type,RD
FishN,17
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,1.027
Pond8Fish5_PondTime,44.382
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,943
Pond8Fish5_TimeLeft,154.922
Type,RD
FishN,17
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,1.269
Pond8Fish6_PondTime,55.333
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,955
Pond8Fish6_TimeLeft,143.971
Type,RD
FishN,17
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,1.171
Pond8Fish7_PondTime,67.695
Pond8Fish7_PondOutcome,84
Pond8Fish7_TotalOutcome,967
Pond8Fish7_TimeLeft,131.609
Type,RD
FishN,17
Fish,8
Pond8Fish8_FishType,gray
Pond8Fish8_FishLatency,10
Pond8Fish8_CatchTime,1.285
Pond8Fish8_PondTime,82.062
Pond8Fish8_PondOutcome,86
Pond8Fish8_TotalOutcome,969
Pond8Fish8_TimeLeft,117.242
Type,RD
FishN,17
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,12
Pond8Fish9_CatchTime,1.609
Pond8Fish9_PondTime,99.436
Pond8Fish9_PondOutcome,98
Pond8Fish9_TotalOutcome,981
Pond8Fish9_TimeLeft,99.868
PondEnd_LastFish,9
FishN,17
Type,RD
GiveUpTime,1.754
PondTime,101.002
TimeLeft,97.799
PondOutcome,98
TotalOutcome,981
PondStart,PondStart
PondIntroTime,13.078403635881841
Type,N
FishN,19
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.466
Pond6Fish1_PondTime,8.894
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,992
Pond6Fish1_TimeLeft,75.185
Type,N
FishN,19
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,1.544
Pond6Fish2_PondTime,16.266
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,1003
Pond6Fish2_TimeLeft,67.813
Type,N
FishN,19
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,1.14
Pond6Fish3_PondTime,24.086
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,1014
Pond6Fish3_TimeLeft,59.993
Type,N
FishN,19
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,1.217
Pond6Fish4_PondTime,32.47
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,1025
Pond6Fish4_TimeLeft,51.609
Type,N
FishN,19
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,1.141
Pond6Fish5_PondTime,41.508
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,1036
Pond6Fish5_TimeLeft,42.571
Type,N
FishN,19
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,1.573
Pond6Fish6_PondTime,51.383
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,1047
Pond6Fish6_TimeLeft,32.696
PondEnd_LastFish,6
FishN,19
Type,N
GiveUpTime,7.306
PondTime,58.466
TimeLeft,25.11
PondOutcome,66
TotalOutcome,1047
PondStart,PondStart
PondIntroTime,12.991296942345798
