,5cb496f728504d00148fe463
Pond8Fish7_TotalOutcome,140
Pond8Fish7_TimeLeft,1064.691
Type,RT
FishN,17
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,1.275
Pond8Fish8_PondTime,69.351
Pond8Fish8_PondOutcome,70
Pond8Fish8_TotalOutcome,150
Pond8Fish8_TimeLeft,1053.713
Type,RT
FishN,17
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,8.571428571428571
Pond8Fish9_CatchTime,1.036
Pond8Fish9_PondTime,81.75
Pond8Fish9_PondOutcome,80
Pond8Fish9_TotalOutcome,160
Pond8Fish9_TimeLeft,1041.314
PondEnd_LastFish,9
FishN,17
Type,RT
GiveUpTime,1.026
PondTime,82.011
TimeLeft,1040.539
PondOutcome,80
TotalOutcome,160
PondStart,PondStart
PondIntroTime,10.869835370685905
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,1.132
Pond10Fish1_PondTime,8.071
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,172
Pond10Fish1_TimeLeft,1020.961
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,0.769
Pond10Fish2_PondTime,14.479
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,184
Pond10Fish2_TimeLeft,1014.553
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,0.941
Pond10Fish3_PondTime,21.185
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,196
Pond10Fish3_TimeLeft,1007.847
Type,RD
FishN,19
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,0.814
Pond10Fish4_PondTime,28.182
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,208
Pond10Fish4_TimeLeft,1000.85
Type,RD
FishN,19
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,0.813
Pond10Fish5_PondTime,35.605
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,220
Pond10Fish5_TimeLeft,993.427
Type,RD
FishN,19
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,0.705
Pond10Fish6_PondTime,43.485
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,232
Pond10Fish6_TimeLeft,985.546
Type,RD
FishN,19
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,0.643
Pond10Fish7_PondTime,51.899
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,244
Pond10Fish7_TimeLeft,977.133
Type,RD
FishN,19
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,0.871
Pond10Fish8_PondTime,60.961
Pond10Fish8_PondOutcome,96
Pond10Fish8_TotalOutcome,256
Pond10Fish8_TimeLeft,968.071
Type,RD
FishN,19
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,0.807
Pond10Fish9_PondTime,70.875
Pond10Fish9_PondOutcome,108
Pond10Fish9_TotalOutcome,268
Pond10Fish9_TimeLeft,958.157
Type,RD
FishN,19
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,0.727
Pond10Fish10_PondTime,81.827
Pond10Fish10_PondOutcome,120
Pond10Fish10_TotalOutcome,280
Pond10Fish10_TimeLeft,947.205
Type,RD
FishN,19
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,8.571428571428571
Pond10Fish11_CatchTime,0.679
Pond10Fish11_PondTime,94.233
Pond10Fish11_PondOutcome,132
Pond10Fish11_TotalOutcome,292
Pond10Fish11_TimeLeft,934.798
Type,RD
FishN,19
Fish,12
Pond10Fish12_FishType,gray
Pond10Fish12_FishLatency,10
Pond10Fish12_CatchTime,1.152
Pond10Fish12_PondTime,108.636
Pond10Fish12_PondOutcome,134
Pond10Fish12_TotalOutcome,294
Pond10Fish12_TimeLeft,920.396
PondEnd_LastFish,12
FishN,19
Type,RD
GiveUpTime,1.678
PondTime,109.669
TimeLeft,918.855
PondOutcome,134
TotalOutcome,294
PondStart,PondStart
PondIntroTime,13.70078394189477
Type,RT
FishN,13
Fish,1
Pond12Fish1_FishType,golden
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,0.868
Pond12Fish1_PondTime,8.327
Pond12Fish1_PondOutcome,20
Pond12Fish1_TotalOutcome,314
Pond12Fish1_TimeLeft,896.169
Type,RT
FishN,13
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,0.753
Pond12Fish2_PondTime,15.034
Pond12Fish2_PondOutcome,30
Pond12Fish2_TotalOutcome,324
Pond12Fish2_TimeLeft,889.462
Type,RT
FishN,13
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,-1
Pond12Fish3_PondTime,22.094
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,324
Pond12Fish3_TimeLeft,882.402
Type,RT
FishN,13
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.811
Pond12Fish4_PondTime,29.509
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,334
