,5cb496f728504d00148fe463
Pond7Fish8_CatchTime,1.991
Pond7Fish8_PondTime,61.505
Pond7Fish8_PondOutcome,64
Pond7Fish8_TotalOutcome,860
Pond7Fish8_TimeLeft,293.332
Type,RD
FishN,15
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.325
Pond7Fish9_PondTime,71.417
Pond7Fish9_PondOutcome,76
Pond7Fish9_TotalOutcome,872
Pond7Fish9_TimeLeft,283.421
Type,RD
FishN,15
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,1.559
Pond7Fish10_PondTime,82.378
Pond7Fish10_PondOutcome,88
Pond7Fish10_TotalOutcome,884
Pond7Fish10_TimeLeft,272.46
Type,RD
FishN,15
Fish,11
Pond7Fish11_FishType,blue
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,1.186
Pond7Fish11_PondTime,94.781
Pond7Fish11_PondOutcome,100
Pond7Fish11_TotalOutcome,896
Pond7Fish11_TimeLeft,260.057
Type,RD
FishN,15
Fish,12
Pond7Fish12_FishType,blue
Pond7Fish12_FishLatency,10
Pond7Fish12_CatchTime,1.075
Pond7Fish12_PondTime,109.179
Pond7Fish12_PondOutcome,112
Pond7Fish12_TotalOutcome,908
Pond7Fish12_TimeLeft,245.659
Type,RD
FishN,15
Fish,13
Pond7Fish13_FishType,blue
Pond7Fish13_FishLatency,12
Pond7Fish13_CatchTime,1.174
Pond7Fish13_PondTime,126.586
Pond7Fish13_PondOutcome,124
Pond7Fish13_TotalOutcome,920
Pond7Fish13_TimeLeft,228.252
PondEnd_LastFish,13
FishN,15
Type,RD
GiveUpTime,20.401
PondTime,146.351
TimeLeft,207.973
PondOutcome,124
TotalOutcome,920
PondStart,PondStart
PondIntroTime,13.229375421069562
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,1.407
Pond2Fish1_PondTime,7.673
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,930
Pond2Fish1_TimeLeft,186.405
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,1.308
Pond2Fish2_PondTime,13.601
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,940
Pond2Fish2_TimeLeft,180.478
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,1.298
Pond2Fish3_PondTime,19.756
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,950
Pond2Fish3_TimeLeft,174.323
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,1.229
Pond2Fish4_PondTime,26.178
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,960
Pond2Fish4_TimeLeft,167.901
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,1.01
Pond2Fish5_PondTime,32.888
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,970
Pond2Fish5_TimeLeft,161.191
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,1.073
Pond2Fish6_PondTime,39.917
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,980
Pond2Fish6_TimeLeft,154.162
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,1.107
Pond2Fish7_PondTime,47.339
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,990
Pond2Fish7_TimeLeft,146.74
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,1.352
Pond2Fish8_PondTime,55.214
Pond2Fish8_PondOutcome,80
Pond2Fish8_TotalOutcome,1000
Pond2Fish8_TimeLeft,138.865
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,1.317
Pond2Fish9_PondTime,63.624
Pond2Fish9_PondOutcome,90
Pond2Fish9_TotalOutcome,1010
Pond2Fish9_TimeLeft,130.454
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,1.541
Pond2Fish10_PondTime,72.687
Pond2Fish10_PondOutcome,100
Pond2Fish10_TotalOutcome,1020
Pond2Fish10_TimeLeft,121.391
Type,RT
FishN,12
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,1.303
Pond2Fish11_PondTime,82.585
Pond2Fish11_PondOutcome,110
Pond2Fish11_TotalOutcome,1030
Pond2Fish11_TimeLeft,111.494
Type,RT
FishN,12
Fish,12
Pond2Fish12_FishType,purple
Pond2Fish12_FishLatency,7.5
Pond2Fish12_CatchTime,1.396
Pond2Fish12_PondTime,93.547
Pond2Fish12_PondOutcome,120
Pond2Fish12_TotalOutcome,1040
Pond2Fish12_TimeLeft,100.532
Type,RT
FishN,12
Fish,13
Pond2Fish13_FishType,purple
Pond2Fish13_FishLatency,8.571428571428571
Pond2Fish13_CatchTime,1.411
Pond2Fish13_PondTime,105.942
Pond2Fish13_PondOutcome,130
Pond2Fish13_TotalOutcome,1050
Pond2Fish13_TimeLeft,88.137
Type,RT
FishN,12
Fish,14
Pond2Fish14_FishType,purple
Pond2Fish14_FishLatency,10
Pond2Fish14_CatchTime,1.101
Pond2Fish14_PondTime,120.325
Pond2Fish14_PondOutcome,140
Pond2Fish14_TotalOutcome,1060
Pond2Fish14_TimeLeft,73.754
PondEnd_LastFish,14
FishN,12
Type,RT
GiveUpTime,12.197
PondTime,131.829
TimeLeft,61.733
PondOutcome,140
TotalOutcome,1060
PondStart,PondStart
PondIntroTime,16.43426961498335
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,1.271
Pond6Fish1_PondTime,7.843
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,1070
Pond6Fish1_TimeLeft,36.812
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,1.424
Pond6Fish2_PondTime,13.962
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,1080
Pond6Fish2_TimeLeft,30.693
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,1.645
Pond6Fish3_PondTime,20.375
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,1090
Pond6Fish3_TimeLeft,24.28
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,1.133
Pond6Fish4_PondTime,27.05
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,1100
Pond6Fish4_TimeLeft,17.604
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,1.289
Pond6Fish5_PondTime,34.068
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,1110
Pond6Fish5_TimeLeft,10.587
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,1.33
Pond6Fish6_PondTime,41.475
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,1120
Pond6Fish6_TimeLeft,3.179
