,5a6ca245d5d4cb0001d66195
Pond6Fish2_CatchTime,0.707
Pond6Fish2_PondTime,18.181
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,888
Pond6Fish2_TimeLeft,257.577
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,0.866
Pond6Fish3_PondTime,27.263
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,898
Pond6Fish3_TimeLeft,248.495
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,golden
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,0.639
Pond6Fish4_PondTime,37.18
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,918
Pond6Fish4_TimeLeft,238.578
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,0.721
Pond6Fish5_PondTime,48.162
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,928
Pond6Fish5_TimeLeft,227.596
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,1.057
Pond6Fish6_PondTime,60.577
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,938
Pond6Fish6_TimeLeft,215.181
PondEnd_LastFish,6
FishN,19
Type,RT
GiveUpTime,0.786
PondTime,60.611
TimeLeft,214.635
PondOutcome,70
TotalOutcome,938
PondStart,PondStart
PondIntroTime,15.580160790123045
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,5
Pond12Fish1_CatchTime,0.833
Pond12Fish1_PondTime,9.765
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,950
Pond12Fish1_TimeLeft,188.671
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,5.454545454545454
Pond12Fish2_CatchTime,0.626
Pond12Fish2_PondTime,18.188
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,962
Pond12Fish2_TimeLeft,180.248
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,gray
Pond12Fish3_FishLatency,6
Pond12Fish3_CatchTime,0.998
Pond12Fish3_PondTime,27.247
Pond12Fish3_PondOutcome,26
Pond12Fish3_TotalOutcome,964
Pond12Fish3_TimeLeft,171.189
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,6.666666666666667
Pond12Fish4_CatchTime,0.924
Pond12Fish4_PondTime,37.14
Pond12Fish4_PondOutcome,38
Pond12Fish4_TotalOutcome,976
Pond12Fish4_TimeLeft,161.295
Type,RD
FishN,13
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,7.5
Pond12Fish5_CatchTime,0.727
Pond12Fish5_PondTime,48.117
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,988
Pond12Fish5_TimeLeft,150.318
Type,RD
FishN,13
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,8.571428571428571
Pond12Fish6_CatchTime,0.632
Pond12Fish6_PondTime,60.514
Pond12Fish6_PondOutcome,62
Pond12Fish6_TotalOutcome,1000
Pond12Fish6_TimeLeft,137.922
Type,RD
FishN,13
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,10
Pond12Fish7_CatchTime,0.834
Pond12Fish7_PondTime,74.926
Pond12Fish7_PondOutcome,74
Pond12Fish7_TotalOutcome,1012
Pond12Fish7_TimeLeft,123.509
PondEnd_LastFish,7
FishN,13
Type,RD
GiveUpTime,0.532
PondTime,91.921
TimeLeft,106
PondOutcome,74
TotalOutcome,1012
PondStart,PondStart
PondIntroTime,15.09831861127168
Type,RT
FishN,14
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,0.737
Pond11Fish1_PondTime,8.304
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,1022
Pond11Fish1_TimeLeft,81.963
Type,RT
FishN,14
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,0.919
Pond11Fish2_PondTime,15.006
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,1032
Pond11Fish2_TimeLeft,75.261
Type,RT
FishN,14
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,0.846
Pond11Fish3_PondTime,22.039
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,1042
Pond11Fish3_TimeLeft,68.228
Type,RT
FishN,14
Fish,4
Pond11Fish4_FishType,golden
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,0.815
Pond11Fish4_PondTime,29.428
Pond11Fish4_PondOutcome,50
Pond11Fish4_TotalOutcome,1062
Pond11Fish4_TimeLeft,60.839
Type,RT
FishN,14
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,1.342
Pond11Fish5_PondTime,37.287
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,1072
Pond11Fish5_TimeLeft,52.979
Type,RT
FishN,14
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,0.669
Pond11Fish6_PondTime,45.695
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,1082
Pond11Fish6_TimeLeft,44.572
Type,RT
FishN,14
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,0.78
Pond11Fish7_PondTime,54.763
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,1092
Pond11Fish7_TimeLeft,35.504
Type,RT
FishN,14
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,6.666666666666667
Pond11Fish8_CatchTime,1.185
Pond11Fish8_PondTime,64.637
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,1102
Pond11Fish8_TimeLeft,25.63
PondEnd_LastFish,8
FishN,14
Type,RT
GiveUpTime,0.82
PondTime,75.393
TimeLeft,14.368
PondOutcome,90
TotalOutcome,1102
PondStart,PondStart
PondIntroTime,15.552314212545753
