,5c5dcac26ad0f00001cc1501
Pond9Fish5_PondTime,41.544
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,836
Pond9Fish5_TimeLeft,149.804
Type,N
FishN,16
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,6.666666666666667
Pond9Fish6_CatchTime,1.738
Pond9Fish6_PondTime,51.477
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,847
Pond9Fish6_TimeLeft,139.871
Type,N
FishN,16
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,7.5
Pond9Fish7_CatchTime,1.92
Pond9Fish7_PondTime,62.671
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,858
Pond9Fish7_TimeLeft,128.677
Type,N
FishN,16
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,8.571428571428571
Pond9Fish8_CatchTime,1.537
Pond9Fish8_PondTime,75.046
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,869
Pond9Fish8_TimeLeft,116.302
Type,N
FishN,16
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,10
Pond9Fish9_CatchTime,1.858
Pond9Fish9_PondTime,89.61
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,880
Pond9Fish9_TimeLeft,101.738
Type,N
FishN,16
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,12
Pond9Fish10_CatchTime,1.988
Pond9Fish10_PondTime,107.285
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,891
Pond9Fish10_TimeLeft,84.063
Type,N
FishN,16
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,15
Pond9Fish11_CatchTime,1.263
Pond9Fish11_PondTime,129.678
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,902
Pond9Fish11_TimeLeft,61.67
Type,N
FishN,16
Fish,12
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,20
Pond9Fish12_CatchTime,1.679
Pond9Fish12_PondTime,162.063
Pond9Fish12_PondOutcome,132
Pond9Fish12_TotalOutcome,913
Pond9Fish12_TimeLeft,29.285
PondEnd_LastFish,12
FishN,16
Type,N
GiveUpTime,24.053
PondTime,185.995
TimeLeft,4.85
PondOutcome,132
TotalOutcome,913
PondStart,PondStart
PondIntroTime,16.289879959076643
