,5c7b73bb19b8d40017e6d392
FishN,12
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,0.911
Pond2Fish7_PondTime,68.616
Pond2Fish7_PondOutcome,84
Pond2Fish7_TotalOutcome,192
Pond2Fish7_TimeLeft,1039.755
Type,RD
FishN,12
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,0.986
Pond2Fish8_PondTime,83.016
Pond2Fish8_PondOutcome,96
Pond2Fish8_TotalOutcome,204
Pond2Fish8_TimeLeft,1025.355
Type,RD
FishN,12
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,12
Pond2Fish9_CatchTime,0.897
Pond2Fish9_PondTime,100.516
Pond2Fish9_PondOutcome,108
Pond2Fish9_TotalOutcome,216
Pond2Fish9_TimeLeft,1007.855
PondEnd_LastFish,9
FishN,12
Type,RD
GiveUpTime,21.41
PondTime,121.015
TimeLeft,986.846
PondOutcome,108
TotalOutcome,216
PondStart,PondStart
PondIntroTime,15.604359894059598
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.5294117647058822
Pond5Fish1_CatchTime,0.987
Pond5Fish1_PondTime,8.137
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,227
Pond5Fish1_TimeLeft,962.472
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,3.75
Pond5Fish2_CatchTime,0.985
Pond5Fish2_PondTime,14.654
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,238
Pond5Fish2_TimeLeft,955.955
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,4
Pond5Fish3_CatchTime,0.725
Pond5Fish3_PondTime,21.437
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,249
Pond5Fish3_TimeLeft,949.172
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,4.285714285714286
Pond5Fish4_CatchTime,0.991
Pond5Fish4_PondTime,28.437
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,260
Pond5Fish4_TimeLeft,942.172
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,4.615384615384615
Pond5Fish5_CatchTime,0.911
Pond5Fish5_PondTime,35.821
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,271
Pond5Fish5_TimeLeft,934.788
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,5
Pond5Fish6_CatchTime,0.875
Pond5Fish6_PondTime,43.771
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,282
Pond5Fish6_TimeLeft,926.838
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,5.454545454545454
Pond5Fish7_CatchTime,0.858
Pond5Fish7_PondTime,52.271
