,5c7b73bb19b8d40017e6d392
Pond4Fish8_TotalOutcome,996
Pond4Fish8_TimeLeft,150.237
PondEnd_LastFish,8
FishN,16
Type,RD
GiveUpTime,0.36
PondTime,99.791
TimeLeft,132.998
PondOutcome,86
TotalOutcome,996
PondStart,PondStart
PondIntroTime,16.6625168453902
Type,RD
FishN,16
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,1.341
Pond9Fish1_PondTime,8.593
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,1008
Pond9Fish1_TimeLeft,107.117
Type,RD
FishN,16
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.138
Pond9Fish2_PondTime,15.702
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,1020
Pond9Fish2_TimeLeft,100.008
Type,RD
FishN,16
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,1.117
Pond9Fish3_PondTime,23.205
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,1032
Pond9Fish3_TimeLeft,92.505
Type,RD
FishN,16
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,1.534
Pond9Fish4_PondTime,31.154
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,1044
Pond9Fish4_TimeLeft,84.556
Type,RD
FishN,16
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,0.883
Pond9Fish5_PondTime,39.673
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,1056
Pond9Fish5_TimeLeft,76.037
Type,RD
FishN,16
Fish,6
Pond9Fish6_FishType,gray
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,0.836
Pond9Fish6_PondTime,48.849
Pond9Fish6_PondOutcome,62
Pond9Fish6_TotalOutcome,1058
Pond9Fish6_TimeLeft,66.861
Type,RD
FishN,16
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,0.688
Pond9Fish7_PondTime,58.87
Pond9Fish7_PondOutcome,74
Pond9Fish7_TotalOutcome,1070
Pond9Fish7_TimeLeft,56.84
Type,RD
FishN,16
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,1.534
Pond9Fish8_PondTime,69.974
Pond9Fish8_PondOutcome,86
Pond9Fish8_TotalOutcome,1082
Pond9Fish8_TimeLeft,45.736
Type,RD
FishN,16
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,0.652
Pond9Fish9_PondTime,82.508
Pond9Fish9_PondOutcome,98
Pond9Fish9_TotalOutcome,1094
Pond9Fish9_TimeLeft,33.202
Type,RD
FishN,16
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,10
Pond9Fish10_CatchTime,0.726
Pond9Fish10_PondTime,97.024
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,1106
Pond9Fish10_TimeLeft,18.685
