,taly8
GiveUpTime,1.12
PondTime,20.323
TimeLeft,1181.571
PondOutcome,33
TotalOutcome,33
PondStart,PondStart
PondIntroTime,13.89654565602541
Type,RT
FishN,12
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,6
Pond11Fish1_CatchTime,1.907
Pond11Fish1_PondTime,11.165
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,43
Pond11Fish1_TimeLeft,1155.87
PondEnd_LastFish,1
FishN,12
Type,RT
GiveUpTime,1.1
PondTime,12.159
TimeLeft,1154.373
PondOutcome,10
TotalOutcome,43
PondStart,PondStart
PondIntroTime,12.829441605135798
Type,RT
FishN,13
Fish,1
Pond7Fish1_FishType,golden
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,1.267
Pond7Fish1_PondTime,12.168
Pond7Fish1_PondOutcome,20
Pond7Fish1_TotalOutcome,63
Pond7Fish1_TimeLeft,1127.206
Type,RT
FishN,13
Fish,2
Pond7Fish2_FishType,golden
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,1.248
Pond7Fish2_PondTime,19.991
Pond7Fish2_PondOutcome,40
Pond7Fish2_TotalOutcome,83
Pond7Fish2_TimeLeft,1119.383
Type,RT
FishN,13
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,5.454545454545454
Pond7Fish3_CatchTime,1.497
Pond7Fish3_PondTime,28.383
Pond7Fish3_PondOutcome,50
Pond7Fish3_TotalOutcome,93
Pond7Fish3_TimeLeft,1110.991
PondEnd_LastFish,3
FishN,13
Type,RT
GiveUpTime,1.802
PondTime,29.862
TimeLeft,1109.009
PondOutcome,50
TotalOutcome,93
PondStart,PondStart
PondIntroTime,19.458215155173093
Type,RD
FishN,16
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,5
Pond12Fish1_CatchTime,1.634
Pond12Fish1_PondTime,9.758
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,105
Pond12Fish1_TimeLeft,1079.164
Type,RD
FishN,16
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,5.454545454545454
Pond12Fish2_CatchTime,1.408
Pond12Fish2_PondTime,18.142
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,117
Pond12Fish2_TimeLeft,1070.781
Type,RD
FishN,16
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,6
Pond12Fish3_CatchTime,1.235
Pond12Fish3_PondTime,27.164
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,129
Pond12Fish3_TimeLeft,1061.759
Type,RD
FishN,16
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,6.666666666666667
Pond12Fish4_CatchTime,1.132
Pond12Fish4_PondTime,37.03
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,141
Pond12Fish4_TimeLeft,1051.893
Type,RD
FishN,16
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,7.5
Pond12Fish5_CatchTime,1.329
Pond12Fish5_PondTime,47.986
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,153
Pond12Fish5_TimeLeft,1040.937
Type,RD
FishN,16
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,8.571428571428571
Pond12Fish6_CatchTime,1.724
Pond12Fish6_PondTime,60.387
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,165
Pond12Fish6_TimeLeft,1028.536
Type,RD
FishN,16
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,10
Pond12Fish7_CatchTime,1.429
Pond12Fish7_PondTime,74.771
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,177
Pond12Fish7_TimeLeft,1014.152
Type,RD
FishN,16
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,12
Pond12Fish8_CatchTime,1.458
Pond12Fish8_PondTime,92.132
Pond12Fish8_PondOutcome,96
Pond12Fish8_TotalOutcome,189
Pond12Fish8_TimeLeft,996.791
Type,RD
FishN,16
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,15
Pond12Fish9_CatchTime,1.544
Pond12Fish9_PondTime,114.532
Pond12Fish9_PondOutcome,108
Pond12Fish9_TotalOutcome,201
Pond12Fish9_TimeLeft,974.391
Type,RD
FishN,16
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,20
Pond12Fish10_CatchTime,1.512
Pond12Fish10_PondTime,146.922
Pond12Fish10_PondOutcome,120
Pond12Fish10_TotalOutcome,213
Pond12Fish10_TimeLeft,942.001
PondEnd_LastFish,10
FishN,16
Type,RD
GiveUpTime,33.599
PondTime,180.227
TimeLeft,908.194
PondOutcome,120
TotalOutcome,213
PondStart,PondStart
PondIntroTime,10.873832365032285
Type,N
FishN,12
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,5.454545454545454
Pond2Fish1_CatchTime,1.354
Pond2Fish1_PondTime,13.163
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,224
Pond2Fish1_TimeLeft,882.222
PondEnd_LastFish,1
FishN,12
Type,N
GiveUpTime,3.286
PondTime,16.01
TimeLeft,878.871
PondOutcome,11
TotalOutcome,224
PondStart,PondStart
PondIntroTime,19.782067355699837
Type,RD
FishN,18
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,6
Pond8Fish1_CatchTime,1.433
Pond8Fish1_PondTime,10.945
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,236
Pond8Fish1_TimeLeft,847.519
Type,RD
FishN,18
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,6.666666666666667
Pond8Fish2_CatchTime,1.529
Pond8Fish2_PondTime,20.825
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,248
Pond8Fish2_TimeLeft,837.639
Type,RD
FishN,18
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,7.5
Pond8Fish3_CatchTime,1.509
Pond8Fish3_PondTime,31.794
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,260
Pond8Fish3_TimeLeft,826.67
Type,RD
FishN,18
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,8.571428571428571
Pond8Fish4_CatchTime,1.415
Pond8Fish4_PondTime,44.165
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,272
Pond8Fish4_TimeLeft,814.299
Type,RD
FishN,18
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,10
Pond8Fish5_CatchTime,1.487
Pond8Fish5_PondTime,58.574
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,284
Pond8Fish5_TimeLeft,799.89
Type,RD
FishN,18
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,12
Pond8Fish6_CatchTime,1.546
Pond8Fish6_PondTime,75.948
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,296
Pond8Fish6_TimeLeft,782.516
Type,RD
FishN,18
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,15
Pond8Fish7_CatchTime,1.473
Pond8Fish7_PondTime,98.312
Pond8Fish7_PondOutcome,84
Pond8Fish7_TotalOutcome,308
Pond8Fish7_TimeLeft,760.152
Type,RD
FishN,18
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,20
Pond8Fish8_CatchTime,1.519
Pond8Fish8_PondTime,130.703
Pond8Fish8_PondOutcome,96
Pond8Fish8_TotalOutcome,320
Pond8Fish8_TimeLeft,727.761
Type,RD
FishN,18
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,30
Pond8Fish9_CatchTime,1.467
Pond8Fish9_PondTime,193.086
Pond8Fish9_PondOutcome,108
Pond8Fish9_TotalOutcome,332
Pond8Fish9_TimeLeft,665.378
PondEnd_LastFish,9
FishN,18
Type,RD
GiveUpTime,1.084
PondTime,193.852
TimeLeft,664.11
PondOutcome,108
TotalOutcome,332
PondStart,PondStart
PondIntroTime,16.09655044740066
Type,RD
FishN,11
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,1.633
Pond6Fish1_PondTime,9.729
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,344
Pond6Fish1_TimeLeft,637.641
Type,RD
FishN,11
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,1.5
Pond6Fish2_PondTime,18.114
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,356
Pond6Fish2_TimeLeft,629.256
Type,RD
FishN,11
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,1.467
Pond6Fish3_PondTime,27.153
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,368
Pond6Fish3_TimeLeft,620.217
Type,RD
FishN,11
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,1.283
Pond6Fish4_PondTime,37.03
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,380
Pond6Fish4_TimeLeft,610.34
Type,RD
FishN,11
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,1.443
Pond6Fish5_PondTime,47.999
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,392
Pond6Fish5_TimeLeft,599.371
Type,RD
FishN,11
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,1.397
Pond6Fish6_PondTime,60.362
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,404
Pond6Fish6_TimeLeft,587.008
Type,RD
FishN,11
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,10
Pond6Fish7_CatchTime,1.34
Pond6Fish7_PondTime,74.725
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,416
Pond6Fish7_TimeLeft,572.645
Type,RD
FishN,11
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,12
Pond6Fish8_CatchTime,1.392
Pond6Fish8_PondTime,92.1
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,428
Pond6Fish8_TimeLeft,555.27
Type,RD
FishN,11
Fish,9
Pond6Fish9_FishType,gray
Pond6Fish9_FishLatency,15
Pond6Fish9_CatchTime,1.456
Pond6Fish9_PondTime,114.498
Pond6Fish9_PondOutcome,98
Pond6Fish9_TotalOutcome,430
Pond6Fish9_TimeLeft,532.872
PondEnd_LastFish,9
FishN,11
Type,RD
GiveUpTime,5.173
PondTime,119.304
TimeLeft,527.56
PondOutcome,98
TotalOutcome,430
PondStart,PondStart
PondIntroTime,16.890555918216705
