,5c4410ed3526c80001fcaea8
FishN,19
Type,RT
GiveUpTime,23.422
PondTime,183.189
TimeLeft,1018.699
PondOutcome,180
TotalOutcome,180
PondStart,PondStart
PondIntroTime,10.545591388363391
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.3333333333333335
Pond4Fish1_CatchTime,1.264
Pond4Fish1_PondTime,7.812
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,190
Pond4Fish1_TimeLeft,999.677
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,golden
Pond4Fish2_FishLatency,3.5294117647058822
Pond4Fish2_CatchTime,1.15
Pond4Fish2_PondTime,13.942
Pond4Fish2_PondOutcome,30
Pond4Fish2_TotalOutcome,210
Pond4Fish2_TimeLeft,993.547
Type,RT
FishN,16
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,3.75
Pond4Fish3_CatchTime,1.006
Pond4Fish3_PondTime,20.31
Pond4Fish3_PondOutcome,40
Pond4Fish3_TotalOutcome,220
Pond4Fish3_TimeLeft,987.179
Type,RT
FishN,16
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,4
Pond4Fish4_CatchTime,1.802
Pond4Fish4_PondTime,27.11
Pond4Fish4_PondOutcome,50
Pond4Fish4_TotalOutcome,230
Pond4Fish4_TimeLeft,980.379
Type,RT
FishN,16
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,4.285714285714286
Pond4Fish5_CatchTime,1.054
Pond4Fish5_PondTime,34.127
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,240
Pond4Fish5_TimeLeft,973.362
Type,RT
FishN,16
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,4.615384615384615
Pond4Fish6_CatchTime,1.168
Pond4Fish6_PondTime,41.524
Pond4Fish6_PondOutcome,70
Pond4Fish6_TotalOutcome,250
Pond4Fish6_TimeLeft,965.965
Type,RT
FishN,16
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,5
Pond4Fish7_CatchTime,1.538
Pond4Fish7_PondTime,49.378
Pond4Fish7_PondOutcome,80
Pond4Fish7_TotalOutcome,260
Pond4Fish7_TimeLeft,958.111
Type,RT
FishN,16
Fish,8
Pond4Fish8_FishType,golden
Pond4Fish8_FishLatency,5.454545454545454
Pond4Fish8_CatchTime,1.185
Pond4Fish8_PondTime,57.779
Pond4Fish8_PondOutcome,100
Pond4Fish8_TotalOutcome,280
Pond4Fish8_TimeLeft,949.71
Type,RT
FishN,16
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,6
Pond4Fish9_CatchTime,1.1
Pond4Fish9_PondTime,66.828
Pond4Fish9_PondOutcome,110
Pond4Fish9_TotalOutcome,290
Pond4Fish9_TimeLeft,940.661
Type,RT
FishN,16
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,6.666666666666667
Pond4Fish10_CatchTime,1.509
Pond4Fish10_PondTime,76.723
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,300
Pond4Fish10_TimeLeft,930.766
Type,RT
FishN,16
Fish,11
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,7.5
Pond4Fish11_CatchTime,1.258
Pond4Fish11_PondTime,87.69
Pond4Fish11_PondOutcome,130
Pond4Fish11_TotalOutcome,310
Pond4Fish11_TimeLeft,919.799
Type,RT
FishN,16
Fish,12
Pond4Fish12_FishType,purple
Pond4Fish12_FishLatency,8.571428571428571
Pond4Fish12_CatchTime,1.434
Pond4Fish12_PondTime,100.107
Pond4Fish12_PondOutcome,140
Pond4Fish12_TotalOutcome,320
Pond4Fish12_TimeLeft,907.382
Type,RT
FishN,16
Fish,13
Pond4Fish13_FishType,purple
Pond4Fish13_FishLatency,10
Pond4Fish13_CatchTime,1.137
Pond4Fish13_PondTime,114.505
Pond4Fish13_PondOutcome,150
Pond4Fish13_TotalOutcome,330
Pond4Fish13_TimeLeft,892.984
Type,RT
FishN,16
Fish,14
Pond4Fish14_FishType,purple
Pond4Fish14_FishLatency,12
Pond4Fish14_CatchTime,1.217
Pond4Fish14_PondTime,131.905
Pond4Fish14_PondOutcome,160
Pond4Fish14_TotalOutcome,340
