,5ba943ee8e137f0001622fb5
Pond11Fish4_TimeLeft,207.081
Type,RT
FishN,14
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,5.454545454545454
Pond11Fish5_CatchTime,0.807
Pond11Fish5_PondTime,39.113
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,909
Pond11Fish5_TimeLeft,198.697
Type,RT
FishN,14
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,6
Pond11Fish6_CatchTime,0.966
Pond11Fish6_PondTime,48.163
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,919
Pond11Fish6_TimeLeft,189.647
Type,RT
FishN,14
Fish,7
Pond11Fish7_FishType,golden
Pond11Fish7_FishLatency,6.666666666666667
Pond11Fish7_CatchTime,0.722
Pond11Fish7_PondTime,58.034
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,939
Pond11Fish7_TimeLeft,179.776
Type,RT
FishN,14
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,7.5
Pond11Fish8_CatchTime,0.99
Pond11Fish8_PondTime,68.966
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,949
Pond11Fish8_TimeLeft,168.843
Type,RT
FishN,14
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,8.571428571428571
Pond11Fish9_CatchTime,0.757
Pond11Fish9_PondTime,81.349
Pond11Fish9_PondOutcome,100
Pond11Fish9_TotalOutcome,959
Pond11Fish9_TimeLeft,156.461
PondEnd_LastFish,9
FishN,14
Type,RT
GiveUpTime,0.346
PondTime,95.461
TimeLeft,141.846
PondOutcome,100
TotalOutcome,959
PondStart,PondStart
PondIntroTime,10.10647812858224
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.873
Pond10Fish1_PondTime,9.761
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,971
Pond10Fish1_TimeLeft,121.326
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.75
Pond10Fish2_PondTime,18.195
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,983
Pond10Fish2_TimeLeft,112.891
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,gray
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.304
Pond10Fish3_PondTime,27.227
Pond10Fish3_PondOutcome,26
Pond10Fish3_TotalOutcome,985
Pond10Fish3_TimeLeft,103.86
Type,RD
FishN,19
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,0.759
Pond10Fish4_PondTime,37.112
Pond10Fish4_PondOutcome,38
Pond10Fish4_TotalOutcome,997
Pond10Fish4_TimeLeft,93.975
Type,RD
FishN,19
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,1.142
Pond10Fish5_PondTime,48.046
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,1009
Pond10Fish5_TimeLeft,83.041
Type,RD
FishN,19
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,0.868
Pond10Fish6_PondTime,60.414
Pond10Fish6_PondOutcome,62
Pond10Fish6_TotalOutcome,1021
Pond10Fish6_TimeLeft,70.673
PondEnd_LastFish,6
FishN,19
Type,RD
GiveUpTime,0.59
PondTime,74.17
TimeLeft,56.414
PondOutcome,62
TotalOutcome,1021
PondStart,PondStart
PondIntroTime,17.77787211118266
Type,N
FishN,16
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,1.13
Pond9Fish1_PondTime,8.889
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,1032
Pond9Fish1_TimeLeft,29.122
Type,N
FishN,16
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,0.688
Pond9Fish2_PondTime,16.257
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,1043
Pond9Fish2_TimeLeft,21.754
Type,N
FishN,16
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,0.957
Pond9Fish3_PondTime,24.074
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,1054
Pond9Fish3_TimeLeft,13.937
Type,N
FishN,16
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,1.017
Pond9Fish4_PondTime,32.442
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,1065
Pond9Fish4_TimeLeft,5.569
