,5c3483f5e460290001ea2e86
PlayerDetails,5c3483f5e460290001ea2e86
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,RD
Pond10_#Fishes,16
Pond7_Type,RT
Pond7_#Fishes,15
Pond2_Type,N
Pond2_#Fishes,12
Pond9_Type,N
Pond9_#Fishes,17
Pond12_Type,N
Pond12_#Fishes,14
Pond5_Type,RT
Pond5_#Fishes,18
Pond4_Type,RD
Pond4_#Fishes,14
Pond3_Type,RT
Pond3_#Fishes,19
Pond11_Type,N
Pond11_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 21:29:22 GMT+1100 (Australian Eastern Daylight Time)
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,1.923
Pond10Fish1_PondTime,8.509
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,12
Pond10Fish1_TimeLeft,1193.89
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,1.859
Pond10Fish2_PondTime,15.335
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,24
Pond10Fish2_TimeLeft,1187.064
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4.285714285714286
Pond10Fish3_CatchTime,1.38
Pond10Fish3_PondTime,22.348
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,36
Pond10Fish3_TimeLeft,1180.051
Type,RD
FishN,19
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4.615384615384615
Pond10Fish4_CatchTime,1.742
Pond10Fish4_PondTime,29.797
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,48
Pond10Fish4_TimeLeft,1172.602
Type,RD
FishN,19
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,5
Pond10Fish5_CatchTime,1.248
Pond10Fish5_PondTime,37.66
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,60
Pond10Fish5_TimeLeft,1164.739
Type,RD
FishN,19
Fish,6
Pond10Fish6_FishType,gray
Pond10Fish6_FishLatency,5.454545454545454
Pond10Fish6_CatchTime,-1
Pond10Fish6_PondTime,46.147
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,60
Pond10Fish6_TimeLeft,1156.252
PondEnd_LastFish,6
FishN,19
Type,RD
GiveUpTime,12.366
PondTime,49.463
TimeLeft,1152.43
PondOutcome,60
TotalOutcome,60
PondStart,PondStart
PondIntroTime,16.879376294091344
Type,RT
FishN,15
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4
Pond7Fish1_CatchTime,1.983
Pond7Fish1_PondTime,8.891
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,70
Pond7Fish1_TimeLeft,1126.021
Type,RT
FishN,15
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,1.434
Pond7Fish2_PondTime,15.881
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,80
Pond7Fish2_TimeLeft,1119.031
Type,RT
FishN,15
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4.615384615384615
Pond7Fish3_CatchTime,1.625
Pond7Fish3_PondTime,23.278
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,90
Pond7Fish3_TimeLeft,1111.634
Type,RT
FishN,15
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,1.435
Pond7Fish4_PondTime,31.146
Pond7Fish4_PondOutcome,40
