,5d345bba0627450017214956
PlayerDetails,5d345bba0627450017214956
GameCompleted,declined
Selected ponds in the game,=======
Pond10_Type,N
Pond10_#Fishes,14
Pond2_Type,RT
Pond2_#Fishes,17
Pond7_Type,N
Pond7_#Fishes,14
Pond6_Type,N
Pond6_#Fishes,13
Pond8_Type,N
Pond8_#Fishes,12
Pond4_Type,RT
Pond4_#Fishes,19
Pond1_Type,RT
Pond1_#Fishes,13
Pond11_Type,N
Pond11_#Fishes,14
Pond3_Type,N
Pond3_#Fishes,15
Pond5_Type,RT
Pond5_#Fishes,14
Pond9_Type,RT
Pond9_#Fishes,13
Pond12_Type,RT
Pond12_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:43:20 GMT+0100 (Central European Standard Time)
Type,N
FishN,19
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,1.759
Pond10Fish1_PondTime,8.956
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,11
Pond10Fish1_TimeLeft,1193.444
Type,N
FishN,19
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,-1
Pond10Fish2_PondTime,16.378
Pond10Fish2_PondOutcome,11
Pond10Fish2_TotalOutcome,11
Pond10Fish2_TimeLeft,1186.022
Type,N
FishN,19
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,1.44
Pond10Fish3_PondTime,24.184
Pond10Fish3_PondOutcome,22
Pond10Fish3_TotalOutcome,22
