,5c24afcdc73588000104e319
Pond8Fish3_TimeLeft,168.811
Type,RT
FishN,17
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,0.837
Pond8Fish4_PondTime,34.545
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,930
Pond8Fish4_TimeLeft,159.783
Type,RT
FishN,17
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,1.125
Pond8Fish5_PondTime,44.43
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,940
Pond8Fish5_TimeLeft,149.898
Type,RT
FishN,17
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,0.973
Pond8Fish6_PondTime,55.37
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,950
Pond8Fish6_TimeLeft,138.958
Type,RT
FishN,17
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,0.967
Pond8Fish7_PondTime,67.767
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,960
Pond8Fish7_TimeLeft,126.561
Type,RT
FishN,17
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,10
Pond8Fish8_CatchTime,0.899
Pond8Fish8_PondTime,82.161
Pond8Fish8_PondOutcome,80
Pond8Fish8_TotalOutcome,970
Pond8Fish8_TimeLeft,112.167
Type,RT
FishN,17
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,12
Pond8Fish9_CatchTime,1.303
Pond8Fish9_PondTime,99.528
Pond8Fish9_PondOutcome,90
Pond8Fish9_TotalOutcome,980
Pond8Fish9_TimeLeft,94.8
Type,RT
FishN,17
Fish,10
Pond8Fish10_FishType,golden
Pond8Fish10_FishLatency,15
Pond8Fish10_CatchTime,0.889
Pond8Fish10_PondTime,121.917
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,1000
Pond8Fish10_TimeLeft,72.411
PondEnd_LastFish,10
FishN,17
Type,RT
GiveUpTime,2.953
PondTime,123.97
TimeLeft,69.85
PondOutcome,110
TotalOutcome,1000
PondStart,PondStart
PondIntroTime,17.528345910832286
Type,RD
FishN,14
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.211
Pond11Fish1_PondTime,8.058
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,1012
Pond11Fish1_TimeLeft,43.6
Type,RD
FishN,14
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.076
Pond11Fish2_PondTime,14.415
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,1024
Pond11Fish2_TimeLeft,37.242
Type,RD
FishN,14
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,0.693
Pond11Fish3_PondTime,21.066
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,1036
Pond11Fish3_TimeLeft,30.592
Type,RD
FishN,14
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,-1
Pond11Fish4_PondTime,28.097
Pond11Fish4_PondOutcome,36
Pond11Fish4_TotalOutcome,1036
Pond11Fish4_TimeLeft,23.561
Type,RD
FishN,14
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,0.802
Pond11Fish5_PondTime,35.46
Pond11Fish5_PondOutcome,48
Pond11Fish5_TotalOutcome,1048
Pond11Fish5_TimeLeft,16.198
Type,RD
FishN,14
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,0.808
Pond11Fish6_PondTime,43.313
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,1060
Pond11Fish6_TimeLeft,8.345
