,5dff62a6df98d9ba45117f52
Pond5Fish7_PondTime,57.941
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,852
Pond5Fish7_TimeLeft,240.261
Type,RD
FishN,12
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,7.5
Pond5Fish8_CatchTime,0.757
Pond5Fish8_PondTime,68.87
Pond5Fish8_PondOutcome,96
Pond5Fish8_TotalOutcome,864
Pond5Fish8_TimeLeft,229.332
Type,RD
FishN,12
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,8.571428571428571
Pond5Fish9_CatchTime,0.702
Pond5Fish9_PondTime,81.23
Pond5Fish9_PondOutcome,108
Pond5Fish9_TotalOutcome,876
Pond5Fish9_TimeLeft,216.972
Type,RD
FishN,12
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,10
Pond5Fish10_CatchTime,1.06
Pond5Fish10_PondTime,95.587
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,888
Pond5Fish10_TimeLeft,202.615
PondEnd_LastFish,10
FishN,12
Type,RD
GiveUpTime,0.392
PondTime,112.36
TimeLeft,185.341
PondOutcome,120
TotalOutcome,888
PondStart,PondStart
PondIntroTime,18.41455310350284
Type,RD
FishN,15
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,0.804
Pond7Fish1_PondTime,9.273
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,900
Pond7Fish1_TimeLeft,157.04
Type,RD
FishN,15
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,0.869
Pond7Fish2_PondTime,17.083
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,912
Pond7Fish2_TimeLeft,149.23
Type,RD
FishN,15
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,5.454545454545454
Pond7Fish3_CatchTime,0.657
Pond7Fish3_PondTime,25.441
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,924
Pond7Fish3_TimeLeft,140.872
Type,RD
FishN,15
Fish,4
Pond7Fish4_FishType,gray
Pond7Fish4_FishLatency,6
Pond7Fish4_CatchTime,0.841
Pond7Fish4_PondTime,34.463
Pond7Fish4_PondOutcome,38
Pond7Fish4_TotalOutcome,926
Pond7Fish4_TimeLeft,131.85
PondEnd_LastFish,4
FishN,15
Type,RD
GiveUpTime,0.149
PondTime,43.292
TimeLeft,122.519
PondOutcome,38
TotalOutcome,926
PondStart,PondStart
PondIntroTime,19.762693231459707
Type,N
FishN,19
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4.285714285714286
Pond1Fish1_CatchTime,0.882
Pond1Fish1_PondTime,8.885
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,937
Pond1Fish1_TimeLeft,93.26
Type,N
FishN,19
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4.615384615384615
Pond1Fish2_CatchTime,0.785
Pond1Fish2_PondTime,16.243
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,948
Pond1Fish2_TimeLeft,85.902
Type,N
FishN,19
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,5
Pond1Fish3_CatchTime,0.639
Pond1Fish3_PondTime,24.055
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,959
Pond1Fish3_TimeLeft,78.09
Type,N
FishN,19
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,5.454545454545454
Pond1Fish4_CatchTime,0.638
Pond1Fish4_PondTime,32.414
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,970
Pond1Fish4_TimeLeft,69.731
Type,N
FishN,19
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,6
Pond1Fish5_CatchTime,0.776
Pond1Fish5_PondTime,41.441
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,981
Pond1Fish5_TimeLeft,60.704
Type,N
FishN,19
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,6.666666666666667
Pond1Fish6_CatchTime,0.876
Pond1Fish6_PondTime,51.298
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,992
Pond1Fish6_TimeLeft,50.847
Type,N
FishN,19
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,7.5
Pond1Fish7_CatchTime,0.962
Pond1Fish7_PondTime,62.228
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,1003
Pond1Fish7_TimeLeft,39.917
Type,N
FishN,19
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,8.571428571428571
Pond1Fish8_CatchTime,0.768
Pond1Fish8_PondTime,74.587
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,1014
Pond1Fish8_TimeLeft,27.558
Type,N
FishN,19
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,10
Pond1Fish9_CatchTime,0.683
Pond1Fish9_PondTime,88.946
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,1025
Pond1Fish9_TimeLeft,13.199
