,5dff62a6df98d9ba45117f52
Pond6Fish3_PondTime,25.436
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,153
Pond6Fish3_TimeLeft,1047.973
Type,N
FishN,19
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,6
Pond6Fish4_CatchTime,0.795
Pond6Fish4_PondTime,34.463
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,164
Pond6Fish4_TimeLeft,1038.946
Type,N
FishN,19
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,6.666666666666667
Pond6Fish5_CatchTime,0.774
Pond6Fish5_PondTime,44.32
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,175
Pond6Fish5_TimeLeft,1029.089
Type,N
FishN,19
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,7.5
Pond6Fish6_CatchTime,0.831
Pond6Fish6_PondTime,55.249
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,186
Pond6Fish6_TimeLeft,1018.16
Type,N
FishN,19
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,8.571428571428571
Pond6Fish7_CatchTime,0.795
Pond6Fish7_PondTime,67.609
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,197
Pond6Fish7_TimeLeft,1005.8
PondEnd_LastFish,7
FishN,19
Type,N
GiveUpTime,0.31
PondTime,81.271
TimeLeft,991.633
PondOutcome,77
TotalOutcome,197
PondStart,PondStart
PondIntroTime,15.014829381834716
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,0.822
Pond5Fish1_PondTime,9.725
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,208
Pond5Fish1_TimeLeft,966.28
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,1.717
Pond5Fish2_PondTime,18.104
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,219
Pond5Fish2_TimeLeft,957.901
Type,N
FishN,12
Fish,3
