,5cc75fed260ac90018dead06
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,164
Pond12Fish4_TimeLeft,1065.883
Type,RD
FishN,13
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,1.281
Pond12Fish5_PondTime,44.351
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,176
Pond12Fish5_TimeLeft,1056.016
PondEnd_LastFish,5
FishN,13
Type,RD
GiveUpTime,1.112
PondTime,44.945
TimeLeft,1054.919
PondOutcome,60
TotalOutcome,176
PondStart,PondStart
PondIntroTime,11.571873752400279
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.5294117647058822
Pond5Fish1_CatchTime,0.939
Pond5Fish1_PondTime,8.032
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,187
Pond5Fish1_TimeLeft,1034.697
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,3.75
Pond5Fish2_CatchTime,1.373
Pond5Fish2_PondTime,14.398
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,198
Pond5Fish2_TimeLeft,1028.331
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,4
Pond5Fish3_CatchTime,1.486
Pond5Fish3_PondTime,21.05
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,209
Pond5Fish3_TimeLeft,1021.679
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,4.285714285714286
Pond5Fish4_CatchTime,1.139
Pond5Fish4_PondTime,28.035
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,220
Pond5Fish4_TimeLeft,1014.694
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,4.615384615384615
Pond5Fish5_CatchTime,1.065
Pond5Fish5_PondTime,35.401
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,231
Pond5Fish5_TimeLeft,1007.328
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,5
Pond5Fish6_CatchTime,1.179
Pond5Fish6_PondTime,43.219
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,242
Pond5Fish6_TimeLeft,999.51
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,5.454545454545454
Pond5Fish7_CatchTime,1.192
Pond5Fish7_PondTime,51.585
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,253
Pond5Fish7_TimeLeft,991.144
Type,N
FishN,12
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,6
Pond5Fish8_CatchTime,1.517
Pond5Fish8_PondTime,60.619
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,264
Pond5Fish8_TimeLeft,982.11
PondEnd_LastFish,8
FishN,12
Type,N
GiveUpTime,1.606
PondTime,61.956
TimeLeft,980.268
PondOutcome,88
TotalOutcome,264
PondStart,PondStart
PondIntroTime,17.52145677804947
Type,RD
FishN,16
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,1.119
Pond9Fish1_PondTime,9.732
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,276
Pond9Fish1_TimeLeft,952.392
Type,RD
FishN,16
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,1.237
Pond9Fish2_PondTime,18.1
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,288
Pond9Fish2_TimeLeft,944.024
Type,RD
FishN,16
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,1.17
Pond9Fish3_PondTime,27.134
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,300
Pond9Fish3_TimeLeft,934.989
Type,RD
FishN,16
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,1.315
Pond9Fish4_PondTime,37.001
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,312
Pond9Fish4_TimeLeft,925.123
Type,RD
FishN,16
Fish,5
Pond9Fish5_FishType,gray
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,1.42
Pond9Fish5_PondTime,47.935
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,314
