,minigunski
Pond6Fish1_PondTime,10.298
Pond6Fish1_PondOutcome,0
Pond6Fish1_TotalOutcome,893
Pond6Fish1_TimeLeft,48.34
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,-1
Pond6Fish2_PondTime,18.749
Pond6Fish2_PondOutcome,0
Pond6Fish2_TotalOutcome,893
Pond6Fish2_TimeLeft,39.89
