,5c699406187d9c00018d0d5b
PondTime,66.931
TimeLeft,190.384
PondOutcome,62
TotalOutcome,881
PondStart,PondStart
PondIntroTime,15.999677444342524
Type,RT
FishN,13
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,5
Pond12Fish1_CatchTime,0.856
Pond12Fish1_PondTime,9.725
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,891
Pond12Fish1_TimeLeft,164.016
Type,RT
FishN,13
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,5.454545454545454
Pond12Fish2_CatchTime,0.672
Pond12Fish2_PondTime,18.084
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,901
Pond12Fish2_TimeLeft,155.657
Type,RT
FishN,13
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,6
Pond12Fish3_CatchTime,0.869
Pond12Fish3_PondTime,27.11
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,911
Pond12Fish3_TimeLeft,146.631
Type,RT
FishN,13
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,6.666666666666667
Pond12Fish4_CatchTime,-1
Pond12Fish4_PondTime,37.022
Pond12Fish4_PondOutcome,30
Pond12Fish4_TotalOutcome,911
Pond12Fish4_TimeLeft,136.719
Type,RT
FishN,13
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,7.5
Pond12Fish5_CatchTime,0.933
Pond12Fish5_PondTime,47.95
Pond12Fish5_PondOutcome,40
Pond12Fish5_TotalOutcome,921
Pond12Fish5_TimeLeft,125.791
Type,RT
FishN,13
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,8.571428571428571
Pond12Fish6_CatchTime,0.681
Pond12Fish6_PondTime,60.313
Pond12Fish6_PondOutcome,50
Pond12Fish6_TotalOutcome,931
Pond12Fish6_TimeLeft,113.428
Type,RT
FishN,13
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,10
Pond12Fish7_CatchTime,1.123
Pond12Fish7_PondTime,74.678
Pond12Fish7_PondOutcome,60
Pond12Fish7_TotalOutcome,941
Pond12Fish7_TimeLeft,99.063
Type,RT
FishN,13
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,12
Pond12Fish8_CatchTime,1.049
Pond12Fish8_PondTime,92.031
Pond12Fish8_PondOutcome,70
Pond12Fish8_TotalOutcome,951
Pond12Fish8_TimeLeft,81.71
PondEnd_LastFish,8
FishN,13
Type,RT
GiveUpTime,0.652
PondTime,114.273
TimeLeft,58.967
PondOutcome,70
TotalOutcome,951
PondStart,PondStart
PondIntroTime,12.168019900564104
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,0.75
Pond3Fish1_PondTime,9.725
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,961
Pond3Fish1_TimeLeft,36.446
Type,RT
FishN,19
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,1.079
Pond3Fish2_PondTime,18.086
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,971
Pond3Fish2_TimeLeft,28.085
Type,RT
FishN,19
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.075
Pond3Fish3_PondTime,27.112
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,981
Pond3Fish3_TimeLeft,19.059
Type,RT
FishN,19
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,1.159
Pond3Fish4_PondTime,36.972
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,991
Pond3Fish4_TimeLeft,9.199
