,5dff35333f2915b958dfd601
Pond1Fish9_FishLatency,10
Pond1Fish9_CatchTime,2.019
Pond1Fish9_PondTime,89.156
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,179
Pond1Fish9_TimeLeft,1024.997
Type,N
FishN,19
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,12
Pond1Fish10_CatchTime,1.259
Pond1Fish10_PondTime,106.519
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,190
Pond1Fish10_TimeLeft,1007.634
PondEnd_LastFish,10
FishN,19
Type,N
GiveUpTime,0.831
PondTime,106.814
TimeLeft,1006.837
PondOutcome,110
TotalOutcome,190
PondStart,PondStart
PondIntroTime,11.464201009366661
Type,N
FishN,19
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,1.338
Pond3Fish1_PondTime,8.164
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,201
Pond3Fish1_TimeLeft,985.137
Type,N
FishN,19
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,1.861
Pond3Fish2_PondTime,14.7
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,212
Pond3Fish2_TimeLeft,978.601
Type,N
FishN,19
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,1.242
Pond3Fish3_PondTime,21.355
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,223
Pond3Fish3_TimeLeft,971.946
Type,N
FishN,19
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,0.986
Pond3Fish4_PondTime,28.337
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,234
Pond3Fish4_TimeLeft,964.964
Type,N
FishN,19
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4.615384615384615
Pond3Fish5_CatchTime,1.213
Pond3Fish5_PondTime,35.705
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,245
Pond3Fish5_TimeLeft,957.596
Type,N
FishN,19
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,5
Pond3Fish6_CatchTime,1.402
Pond3Fish6_PondTime,43.518
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,256
Pond3Fish6_TimeLeft,949.783
Type,N
FishN,19
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,5.454545454545454
Pond3Fish7_CatchTime,1.23
Pond3Fish7_PondTime,51.901
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,267
Pond3Fish7_TimeLeft,941.4
Type,N
FishN,19
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,6
Pond3Fish8_CatchTime,1.15
Pond3Fish8_PondTime,60.929
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,278
Pond3Fish8_TimeLeft,932.372
Type,N
FishN,19
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,6.666666666666667
Pond3Fish9_CatchTime,1.307
Pond3Fish9_PondTime,70.806
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,289
Pond3Fish9_TimeLeft,922.495
Type,N
FishN,19
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,7.5
Pond3Fish10_CatchTime,1.953
Pond3Fish10_PondTime,82.016
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,300
Pond3Fish10_TimeLeft,911.285
Type,N
FishN,19
Fish,11
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,8.571428571428571
Pond3Fish11_CatchTime,1.528
Pond3Fish11_PondTime,94.386
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,311
Pond3Fish11_TimeLeft,898.915
Type,N
FishN,19
Fish,12
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,10
Pond3Fish12_CatchTime,1.403
Pond3Fish12_PondTime,108.768
Pond3Fish12_PondOutcome,132
Pond3Fish12_TotalOutcome,322
Pond3Fish12_TimeLeft,884.533
PondEnd_LastFish,12
FishN,19
Type,N
GiveUpTime,15.483
PondTime,123.865
TimeLeft,868.933
PondOutcome,132
TotalOutcome,322
PondStart,PondStart
PondIntroTime,13.287469281349331
Type,N
FishN,17
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.076
Pond8Fish1_PondTime,12.142
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,333
Pond8Fish1_TimeLeft,841.147
Type,N
FishN,17
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.018
Pond8Fish2_PondTime,19.96
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,344
Pond8Fish2_TimeLeft,833.328
Type,N
FishN,17
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,1.499
Pond8Fish3_PondTime,28.341
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,355
Pond8Fish3_TimeLeft,824.948
Type,N
FishN,17
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,1.626
Pond8Fish4_PondTime,37.408
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,366
Pond8Fish4_TimeLeft,815.881
Type,N
FishN,17
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,1.345
Pond8Fish5_PondTime,47.29
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,377
Pond8Fish5_TimeLeft,805.999
Type,N
FishN,17
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,1.346
Pond8Fish6_PondTime,58.243
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,388
Pond8Fish6_TimeLeft,795.046
Type,N
FishN,17
Fish,7
