,5c58039de9813700018aef07
PondTime,119.734
TimeLeft,265.517
PondOutcome,120
TotalOutcome,871
PondStart,PondStart
PondIntroTime,17.273436593823135
Type,RT
FishN,19
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4.285714285714286
Pond1Fish1_CatchTime,1.045
Pond1Fish1_PondTime,8.884
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,881
Pond1Fish1_TimeLeft,238.737
Type,RT
FishN,19
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4.615384615384615
Pond1Fish2_CatchTime,1.117
Pond1Fish2_PondTime,16.251
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,891
Pond1Fish2_TimeLeft,231.37
Type,RT
FishN,19
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,5
Pond1Fish3_CatchTime,1.141
Pond1Fish3_PondTime,24.068
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,901
Pond1Fish3_TimeLeft,223.553
Type,RT
FishN,19
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,5.454545454545454
Pond1Fish4_CatchTime,1.007
Pond1Fish4_PondTime,32.433
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,911
Pond1Fish4_TimeLeft,215.188
Type,RT
FishN,19
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,6
Pond1Fish5_CatchTime,0.846
Pond1Fish5_PondTime,41.473
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,921
Pond1Fish5_TimeLeft,206.148
Type,RT
FishN,19
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,6.666666666666667
Pond1Fish6_CatchTime,1.634
Pond1Fish6_PondTime,51.332
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,931
Pond1Fish6_TimeLeft,196.289
Type,RT
FishN,19
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,7.5
Pond1Fish7_CatchTime,1.165
Pond1Fish7_PondTime,62.266
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,941
Pond1Fish7_TimeLeft,185.355
Type,RT
FishN,19
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,8.571428571428571
Pond1Fish8_CatchTime,1.143
Pond1Fish8_PondTime,74.633
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,951
Pond1Fish8_TimeLeft,172.988
Type,RT
FishN,19
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,10
Pond1Fish9_CatchTime,0.855
Pond1Fish9_PondTime,89
Pond1Fish9_PondOutcome,90
Pond1Fish9_TotalOutcome,961
Pond1Fish9_TimeLeft,158.621
Type,RT
FishN,19
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,12
Pond1Fish10_CatchTime,1.369
Pond1Fish10_PondTime,106.369
Pond1Fish10_PondOutcome,100
Pond1Fish10_TotalOutcome,971
Pond1Fish10_TimeLeft,141.252
Type,RT
FishN,19
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,15
Pond1Fish11_CatchTime,1.427
Pond1Fish11_PondTime,128.734
Pond1Fish11_PondOutcome,110
Pond1Fish11_TotalOutcome,981
Pond1Fish11_TimeLeft,118.887
PondEnd_LastFish,11
FishN,19
Type,RT
GiveUpTime,1.357
PondTime,129.72
TimeLeft,117.399
PondOutcome,110
TotalOutcome,981
PondStart,PondStart
PondIntroTime,17.916196193546057
Type,N
FishN,19
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,1.177
Pond10Fish1_PondTime,7.6
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,992
Pond10Fish1_TimeLeft,91.254
Type,N
FishN,19
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,1.196
Pond10Fish2_PondTime,13.499
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,1003
Pond10Fish2_TimeLeft,85.355
Type,N
FishN,19
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,1.04
Pond10Fish3_PondTime,19.617
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,1014
Pond10Fish3_TimeLeft,79.237
Type,N
FishN,19
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,1.233
Pond10Fish4_PondTime,25.983
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,1025
Pond10Fish4_TimeLeft,72.871
Type,N
FishN,19
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,0.974
Pond10Fish5_PondTime,32.633
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,1036
Pond10Fish5_TimeLeft,66.221
Type,N
FishN,19
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,1.246
Pond10Fish6_PondTime,39.617
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,1047
Pond10Fish6_TimeLeft,59.237
Type,N
FishN,19
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,1.088
Pond10Fish7_PondTime,46.985
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,1058
Pond10Fish7_TimeLeft,51.869
Type,N
FishN,19
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,0.919
Pond10Fish8_PondTime,54.8
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,1069
Pond10Fish8_TimeLeft,44.054
Type,N
FishN,19
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,0.994
Pond10Fish9_PondTime,63.166
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,1080
Pond10Fish9_TimeLeft,35.688
Type,N
FishN,19
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,1.223
Pond10Fish10_PondTime,72.201
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,1091
Pond10Fish10_TimeLeft,26.653
Type,N
FishN,19
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,6.666666666666667
Pond10Fish11_CatchTime,1.229
Pond10Fish11_PondTime,82.067
Pond10Fish11_PondOutcome,121
Pond10Fish11_TotalOutcome,1102
Pond10Fish11_TimeLeft,16.787
Type,N
FishN,19
Fish,12
Pond10Fish12_FishType,green
Pond10Fish12_FishLatency,7.5
Pond10Fish12_CatchTime,1.096
Pond10Fish12_PondTime,92.999
Pond10Fish12_PondOutcome,132
Pond10Fish12_TotalOutcome,1113
Pond10Fish12_TimeLeft,5.855
