,5dfe7f1413ec50afd973fb3a
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,141
Pond12Fish3_TimeLeft,1045.454
Type,N
FishN,13
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,6.666666666666667
Pond12Fish4_CatchTime,1.278
Pond12Fish4_PondTime,37.023
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,152
Pond12Fish4_TimeLeft,1035.571
Type,N
FishN,13
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,7.5
Pond12Fish5_CatchTime,1.264
Pond12Fish5_PondTime,47.952
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,163
Pond12Fish5_TimeLeft,1024.642
Type,N
FishN,13
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,8.571428571428571
Pond12Fish6_CatchTime,1.328
Pond12Fish6_PondTime,60.313
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,174
Pond12Fish6_TimeLeft,1012.281
Type,N
FishN,13
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,10
Pond12Fish7_CatchTime,1.461
Pond12Fish7_PondTime,74.694
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,185
Pond12Fish7_TimeLeft,997.9
Type,N
FishN,13
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,12
Pond12Fish8_CatchTime,1.379
Pond12Fish8_PondTime,92.072
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,196
Pond12Fish8_TimeLeft,980.522
PondEnd_LastFish,8
FishN,13
Type,N
GiveUpTime,4.697
PondTime,96.347
TimeLeft,975.745
PondOutcome,88
TotalOutcome,196
PondStart,PondStart
PondIntroTime,17.912836335599422
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,1.089
Pond10Fish1_PondTime,9.298
