,56ab570169b247000d5cb3a5
Pond8Fish2_PondTime,18.127
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,182
Pond8Fish2_TimeLeft,999.512
Type,N
FishN,17
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,1.343
Pond8Fish3_PondTime,27.158
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,193
Pond8Fish3_TimeLeft,990.482
Type,N
FishN,17
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,0.91
Pond8Fish4_PondTime,37.016
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,204
Pond8Fish4_TimeLeft,980.624
Type,N
FishN,17
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,1.482
Pond8Fish5_PondTime,47.955
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,215
Pond8Fish5_TimeLeft,969.685
Type,N
FishN,17
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,1.811
Pond8Fish6_PondTime,60.434
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,226
Pond8Fish6_TimeLeft,957.206
Type,N
FishN,17
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,10
Pond8Fish7_CatchTime,1.237
Pond8Fish7_PondTime,74.794
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,237
Pond8Fish7_TimeLeft,942.846
Type,N
FishN,17
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,12
Pond8Fish8_CatchTime,1.247
Pond8Fish8_PondTime,92.152
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,248
Pond8Fish8_TimeLeft,925.488
Type,N
FishN,17
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,15
Pond8Fish9_CatchTime,1.17
Pond8Fish9_PondTime,114.535
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,259
Pond8Fish9_TimeLeft,903.105
PondEnd_LastFish,9
FishN,17
Type,N
GiveUpTime,26.597
PondTime,140.509
TimeLeft,876.621
PondOutcome,99
TotalOutcome,259
PondStart,PondStart
PondIntroTime,19.49866245733574
Type,N
FishN,16
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.774
Pond4Fish1_PondTime,8.993
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,270
Pond4Fish1_TimeLeft,847.506
Type,N
FishN,16
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,-1
Pond4Fish2_PondTime,16.447
Pond4Fish2_PondOutcome,11
Pond4Fish2_TotalOutcome,270
Pond4Fish2_TimeLeft,840.051
Type,N
FishN,16
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,1.217
Pond4Fish3_PondTime,24.33
Pond4Fish3_PondOutcome,22
Pond4Fish3_TotalOutcome,281
Pond4Fish3_TimeLeft,832.169
Type,N
FishN,16
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,0.9
Pond4Fish4_PondTime,32.787
Pond4Fish4_PondOutcome,33
Pond4Fish4_TotalOutcome,292
Pond4Fish4_TimeLeft,823.712
Type,N
FishN,16
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,1.305
Pond4Fish5_PondTime,41.862
Pond4Fish5_PondOutcome,44
Pond4Fish5_TotalOutcome,303
Pond4Fish5_TimeLeft,814.637
Type,N
FishN,16
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,1.419
Pond4Fish6_PondTime,51.772
Pond4Fish6_PondOutcome,55
Pond4Fish6_TotalOutcome,314
Pond4Fish6_TimeLeft,804.727
Type,N
FishN,16
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,1.625
Pond4Fish7_PondTime,62.733
Pond4Fish7_PondOutcome,66
Pond4Fish7_TotalOutcome,325
Pond4Fish7_TimeLeft,793.766
Type,N
FishN,16
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,8.571428571428571
Pond4Fish8_CatchTime,1.075
Pond4Fish8_PondTime,75.175
Pond4Fish8_PondOutcome,77
Pond4Fish8_TotalOutcome,336
Pond4Fish8_TimeLeft,781.324
Type,N
FishN,16
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,10
Pond4Fish9_CatchTime,1.31
Pond4Fish9_PondTime,89.572
Pond4Fish9_PondOutcome,88
Pond4Fish9_TotalOutcome,347
Pond4Fish9_TimeLeft,766.927
Type,N
FishN,16
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,12
Pond4Fish10_CatchTime,1.49
Pond4Fish10_PondTime,106.987
Pond4Fish10_PondOutcome,99
Pond4Fish10_TotalOutcome,358
Pond4Fish10_TimeLeft,749.512
Type,N
FishN,16
Fish,11
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,15
Pond4Fish11_CatchTime,1.157
Pond4Fish11_PondTime,129.423
Pond4Fish11_PondOutcome,110
Pond4Fish11_TotalOutcome,369
Pond4Fish11_TimeLeft,727.076
Type,N
FishN,16
Fish,12
Pond4Fish12_FishType,green
Pond4Fish12_FishLatency,20
Pond4Fish12_CatchTime,1.345
Pond4Fish12_PondTime,161.85
Pond4Fish12_PondOutcome,121
Pond4Fish12_TotalOutcome,380
Pond4Fish12_TimeLeft,694.649
PondEnd_LastFish,12
FishN,16
Type,N
GiveUpTime,54.557
PondTime,215.95
TimeLeft,640.046
PondOutcome,121
TotalOutcome,380
PondStart,PondStart
PondIntroTime,10.26893871370703
Type,RD
FishN,15
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,1.231
Pond7Fish1_PondTime,8.315
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,392
Pond7Fish1_TimeLeft,620.846
Type,RD
FishN,15
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,1.226
Pond7Fish2_PondTime,14.988
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,404
Pond7Fish2_TimeLeft,614.172
Type,RD
FishN,15
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,1.334
Pond7Fish3_PondTime,22.023
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,416
Pond7Fish3_TimeLeft,607.138
Type,RD
FishN,15
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,1.197
Pond7Fish4_PondTime,29.417
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,428
Pond7Fish4_TimeLeft,599.743
Type,RD
FishN,15
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,1.232
Pond7Fish5_PondTime,37.29
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,440
Pond7Fish5_TimeLeft,591.871
Type,RD
FishN,15
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,1.314
Pond7Fish6_PondTime,45.699
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,452
Pond7Fish6_TimeLeft,583.461
Type,RD
FishN,15
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,1.145
Pond7Fish7_PondTime,54.774
Pond7Fish7_PondOutcome,84
Pond7Fish7_TotalOutcome,464
Pond7Fish7_TimeLeft,574.387
Type,RD
FishN,15
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,6.666666666666667
Pond7Fish8_CatchTime,1.134
Pond7Fish8_PondTime,64.677
Pond7Fish8_PondOutcome,96
Pond7Fish8_TotalOutcome,476
Pond7Fish8_TimeLeft,564.484
Type,RD
FishN,15
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,7.5
Pond7Fish9_CatchTime,1.049
Pond7Fish9_PondTime,75.642
Pond7Fish9_PondOutcome,108
Pond7Fish9_TotalOutcome,488
Pond7Fish9_TimeLeft,553.518
Type,RD
FishN,15
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,8.571428571428571
Pond7Fish10_CatchTime,1.006
Pond7Fish10_PondTime,88.073
Pond7Fish10_PondOutcome,120
Pond7Fish10_TotalOutcome,500
Pond7Fish10_TimeLeft,541.088
Type,RD
FishN,15
Fish,11
Pond7Fish11_FishType,blue
Pond7Fish11_FishLatency,10
Pond7Fish11_CatchTime,0.919
Pond7Fish11_PondTime,102.482
Pond7Fish11_PondOutcome,132
Pond7Fish11_TotalOutcome,512
Pond7Fish11_TimeLeft,526.679
Type,RD
FishN,15
Fish,12
Pond7Fish12_FishType,blue
Pond7Fish12_FishLatency,12
Pond7Fish12_CatchTime,1.368
Pond7Fish12_PondTime,119.899
Pond7Fish12_PondOutcome,144
Pond7Fish12_TotalOutcome,524
Pond7Fish12_TimeLeft,509.262
Type,RD
FishN,15
Fish,13
Pond7Fish13_FishType,blue
Pond7Fish13_FishLatency,15
Pond7Fish13_CatchTime,-1
Pond7Fish13_PondTime,142.344
Pond7Fish13_PondOutcome,144
Pond7Fish13_TotalOutcome,524
Pond7Fish13_TimeLeft,486.817
PondEnd_LastFish,13
FishN,15
Type,RD
