, 5de6e9a748241d67583acb96
Pond12Fish3_PondTime,25.831
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,132
Pond12Fish3_TimeLeft,1051.524
Type,N
FishN,13
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,1.764
Pond12Fish4_PondTime,34.994
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,143
Pond12Fish4_TimeLeft,1042.361
Type,N
FishN,13
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,1.806
Pond12Fish5_PondTime,44.982
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,154
Pond12Fish5_TimeLeft,1032.37
Type,N
FishN,13
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,7.5
Pond12Fish6_CatchTime,1.207
Pond12Fish6_PondTime,55.986
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,165
Pond12Fish6_TimeLeft,1021.368
Type,N
FishN,13
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,8.571428571428571
Pond12Fish7_CatchTime,1.43
Pond12Fish7_PondTime,68.42
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,176
Pond12Fish7_TimeLeft,1008.934
Type,N
FishN,13
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,10
Pond12Fish8_CatchTime,1.499
Pond12Fish8_PondTime,82.832
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,187
Pond12Fish8_TimeLeft,994.522
Type,N
FishN,13
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,12
Pond12Fish9_CatchTime,1.849
Pond12Fish9_PondTime,100.435
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,198
Pond12Fish9_TimeLeft,976.92
Type,N
FishN,13
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,15
Pond12Fish10_CatchTime,1.805
Pond12Fish10_PondTime,122.957
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,209
Pond12Fish10_TimeLeft,954.397
Type,N
FishN,13
Fish,11
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,20
Pond12Fish11_CatchTime,1.93
Pond12Fish11_PondTime,155.661
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,220
Pond12Fish11_TimeLeft,921.693
PondEnd_LastFish,11
FishN,13
Type,N
GiveUpTime,35.108
PondTime,190.661
TimeLeft,886.17
PondOutcome,121
TotalOutcome,220
PondStart,PondStart
PondIntroTime,16.348129229154438
Type,N
FishN,19
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,1.558
Pond6Fish1_PondTime,8.631
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,231
Pond6Fish1_TimeLeft,860.558
Type,N
FishN,19
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,1.4
Pond6Fish2_PondTime,15.647
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,242
Pond6Fish2_TimeLeft,853.542
Type,N
FishN,19
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,1.352
Pond6Fish3_PondTime,23.046
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,253
Pond6Fish3_TimeLeft,846.143
Type,N
FishN,19
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,1.568
Pond6Fish4_PondTime,30.91
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,264
Pond6Fish4_TimeLeft,838.279
Type,N
FishN,19
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,1.476
Pond6Fish5_PondTime,39.352
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,275
Pond6Fish5_TimeLeft,829.837
Type,N
FishN,19
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,1.739
Pond6Fish6_PondTime,48.526
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,286
Pond6Fish6_TimeLeft,820.663
Type,N
FishN,19
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,6.666666666666667
Pond6Fish7_CatchTime,1.49
Pond6Fish7_PondTime,58.422
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,297
Pond6Fish7_TimeLeft,810.767
Type,N
FishN,19
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,7.5
Pond6Fish8_CatchTime,1.697
Pond6Fish8_PondTime,69.427
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,308
Pond6Fish8_TimeLeft,799.762
Type,N
FishN,19
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,8.571428571428571
Pond6Fish9_CatchTime,1.454
Pond6Fish9_PondTime,81.818
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,319
Pond6Fish9_TimeLeft,787.371
Type,N
FishN,19
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,10
Pond6Fish10_CatchTime,1.542
Pond6Fish10_PondTime,96.295
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,330
Pond6Fish10_TimeLeft,772.894
Type,N
FishN,19
Fish,11
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,12
Pond6Fish11_CatchTime,1.509
Pond6Fish11_PondTime,113.693
Pond6Fish11_PondOutcome,121
Pond6Fish11_TotalOutcome,341
Pond6Fish11_TimeLeft,755.496
Type,N
FishN,19
Fish,12
Pond6Fish12_FishType,green
Pond6Fish12_FishLatency,15
Pond6Fish12_CatchTime,-1
Pond6Fish12_PondTime,136.226
Pond6Fish12_PondOutcome,121
Pond6Fish12_TotalOutcome,341
Pond6Fish12_TimeLeft,732.963
Type,N
FishN,19
Fish,13
Pond6Fish13_FishType,green
Pond6Fish13_FishLatency,20
Pond6Fish13_CatchTime,1.784
Pond6Fish13_PondTime,168.77
Pond6Fish13_PondOutcome,132
Pond6Fish13_TotalOutcome,352
Pond6Fish13_TimeLeft,700.419
PondEnd_LastFish,13
FishN,19
Type,N
GiveUpTime,32.295
PondTime,200.963
TimeLeft,667.699
PondOutcome,132
TotalOutcome,352
PondStart,PondStart
PondIntroTime,17.446926103439182
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.534
Pond2Fish1_PondTime,9.362
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,362
Pond2Fish1_TimeLeft,640.23
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.483
Pond2Fish2_PondTime,17.21
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,372
Pond2Fish2_TimeLeft,632.382
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,golden
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.069
Pond2Fish3_PondTime,25.577
Pond2Fish3_PondOutcome,40
Pond2Fish3_TotalOutcome,392
Pond2Fish3_TimeLeft,624.015
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.675
Pond2Fish4_PondTime,34.711
Pond2Fish4_PondOutcome,50
Pond2Fish4_TotalOutcome,402
Pond2Fish4_TimeLeft,614.881
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,1.612
Pond2Fish5_PondTime,44.603
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,412
Pond2Fish5_TimeLeft,604.989
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,1.176
Pond2Fish6_PondTime,55.557
Pond2Fish6_PondOutcome,70
Pond2Fish6_TotalOutcome,422
Pond2Fish6_TimeLeft,594.035
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,1.406
Pond2Fish7_PondTime,67.931
Pond2Fish7_PondOutcome,80
Pond2Fish7_TotalOutcome,432
Pond2Fish7_TimeLeft,581.661
