,5d4855cf4574f300013a7945
Pond12Fish6_PondTime,51.502
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,170
Pond12Fish6_TimeLeft,985.753
Type,RT
FishN,13
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,7.5
Pond12Fish7_CatchTime,0.824
Pond12Fish7_PondTime,62.469
Pond12Fish7_PondOutcome,70
Pond12Fish7_TotalOutcome,180
Pond12Fish7_TimeLeft,974.786
Type,RT
FishN,13
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,8.571428571428571
Pond12Fish8_CatchTime,0.769
Pond12Fish8_PondTime,74.885
Pond12Fish8_PondOutcome,80
Pond12Fish8_TotalOutcome,190
Pond12Fish8_TimeLeft,962.369
Type,RT
FishN,13
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,10
Pond12Fish9_CatchTime,1.622
Pond12Fish9_PondTime,89.279
Pond12Fish9_PondOutcome,90
Pond12Fish9_TotalOutcome,200
Pond12Fish9_TimeLeft,947.976
Type,RT
FishN,13
Fish,10
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,12
Pond12Fish10_CatchTime,1.051
Pond12Fish10_PondTime,106.653
Pond12Fish10_PondOutcome,100
Pond12Fish10_TotalOutcome,210
Pond12Fish10_TimeLeft,930.602
Type,RT
FishN,13
Fish,11
Pond12Fish11_FishType,purple
Pond12Fish11_FishLatency,15
Pond12Fish11_CatchTime,0.908
Pond12Fish11_PondTime,129.082
Pond12Fish11_PondOutcome,110
Pond12Fish11_TotalOutcome,220
Pond12Fish11_TimeLeft,908.173
Type,RT
FishN,13
Fish,12
Pond12Fish12_FishType,purple
Pond12Fish12_FishLatency,20
Pond12Fish12_CatchTime,0.953
Pond12Fish12_PondTime,161.486
Pond12Fish12_PondOutcome,120
Pond12Fish12_TotalOutcome,230
Pond12Fish12_TimeLeft,875.769
PondEnd_LastFish,12
FishN,13
Type,RT
GiveUpTime,41.615
PondTime,202.261
TimeLeft,834.469
PondOutcome,120
TotalOutcome,230
PondStart,PondStart
PondIntroTime,11.030672756023705
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,1.514
Pond3Fish1_PondTime,7.669
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,242
Pond3Fish1_TimeLeft,815.107
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,1.054
Pond3Fish2_PondTime,13.571
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,254
Pond3Fish2_TimeLeft,809.204
Type,RD
FishN,19
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,0.791
Pond3Fish3_PondTime,19.729
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,266
Pond3Fish3_TimeLeft,803.047
Type,RD
FishN,19
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,0.856
Pond3Fish4_PondTime,26.12
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,278
Pond3Fish4_TimeLeft,796.656
Type,RD
FishN,19
Fish,5
Pond3Fish5_FishType,gray
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,0.953
Pond3Fish5_PondTime,32.788
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,280
Pond3Fish5_TimeLeft,789.987
Type,RD
FishN,19
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,0.812
Pond3Fish6_PondTime,39.776
Pond3Fish6_PondOutcome,62
Pond3Fish6_TotalOutcome,292
Pond3Fish6_TimeLeft,783
Type,RD
FishN,19
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,0.831
Pond3Fish7_PondTime,47.168
Pond3Fish7_PondOutcome,74
Pond3Fish7_TotalOutcome,304
Pond3Fish7_TimeLeft,775.607
Type,RD
FishN,19
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,0.829
Pond3Fish8_PondTime,55.023
Pond3Fish8_PondOutcome,86
Pond3Fish8_TotalOutcome,316
Pond3Fish8_TimeLeft,767.752
Type,RD
FishN,19
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,0.938
Pond3Fish9_PondTime,63.407
Pond3Fish9_PondOutcome,98
Pond3Fish9_TotalOutcome,328
Pond3Fish9_TimeLeft,759.369
Type,RD
FishN,19
Fish,10
Pond3Fish10_FishType,gray
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,0.786
Pond3Fish10_PondTime,72.477
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,330
Pond3Fish10_TimeLeft,750.299
Type,RD
FishN,19
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,0.845
Pond3Fish11_PondTime,82.34
Pond3Fish11_PondOutcome,112
Pond3Fish11_TotalOutcome,342
Pond3Fish11_TimeLeft,740.435
Type,RD
FishN,19
Fish,12
Pond3Fish12_FishType,blue
