,5dfe838ea7fba6b19132f859
PondEnd_LastFish,16
FishN,19
Type,RD
GiveUpTime,28.192
PondTime,213.706
TimeLeft,988.182
PondOutcome,160
TotalOutcome,160
PondStart,PondStart
PondIntroTime,15.612391221802682
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,1.19
Pond6Fish1_PondTime,7.802
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,170
Pond6Fish1_TimeLeft,964.116
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,1.829
Pond6Fish2_PondTime,14.051
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,180
Pond6Fish2_TimeLeft,957.867
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,1.782
Pond6Fish3_PondTime,20.501
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,190
Pond6Fish3_TimeLeft,951.417
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,1.734
Pond6Fish4_PondTime,27.2
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,200
Pond6Fish4_TimeLeft,944.718
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,golden
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,0.973
Pond6Fish5_PondTime,34.184
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,220
Pond6Fish5_TimeLeft,937.734
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,golden
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,0.999
Pond6Fish6_PondTime,41.552
Pond6Fish6_PondOutcome,80
Pond6Fish6_TotalOutcome,240
Pond6Fish6_TimeLeft,930.365
Type,RT
FishN,19
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,1.086
Pond6Fish7_PondTime,49.368
Pond6Fish7_PondOutcome,90
Pond6Fish7_TotalOutcome,250
Pond6Fish7_TimeLeft,922.549
Type,RT
FishN,19
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,1.07
Pond6Fish8_PondTime,57.734
Pond6Fish8_PondOutcome,100
Pond6Fish8_TotalOutcome,260
Pond6Fish8_TimeLeft,914.184
Type,RT
FishN,19
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,0.952
Pond6Fish9_PondTime,66.768
Pond6Fish9_PondOutcome,110
Pond6Fish9_TotalOutcome,270
Pond6Fish9_TimeLeft,905.149
Type,RT
FishN,19
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,1.403
Pond6Fish10_PondTime,76.636
Pond6Fish10_PondOutcome,120
Pond6Fish10_TotalOutcome,280
Pond6Fish10_TimeLeft,895.281
Type,RT
FishN,19
Fish,11
