,5d5fc2010740150018a0291e
Pond12Fish10_CatchTime,0.739
Pond12Fish10_PondTime,87.589
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,829
Pond12Fish10_TimeLeft,264.237
PondEnd_LastFish,10
FishN,13
Type,RT
GiveUpTime,0.286
PondTime,101.37
TimeLeft,249.954
PondOutcome,110
TotalOutcome,829
PondStart,PondStart
PondIntroTime,18.997368582058698
Type,RD
FishN,14
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,0.685
Pond11Fish1_PondTime,8.269
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,841
Pond11Fish1_TimeLeft,222.085
Type,RD
FishN,14
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,0.612
Pond11Fish2_PondTime,14.914
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,853
Pond11Fish2_TimeLeft,215.44
Type,RD
FishN,14
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,0.585
Pond11Fish3_PondTime,21.888
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,865
Pond11Fish3_TimeLeft,208.466
Type,RD
FishN,14
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,1.283
Pond11Fish4_PondTime,29.244
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,877
Pond11Fish4_TimeLeft,201.11
Type,RD
FishN,14
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,0.787
Pond11Fish5_PondTime,37.055
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,889
Pond11Fish5_TimeLeft,193.299
Type,RD
FishN,14
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,0.598
Pond11Fish6_PondTime,45.414
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,901
Pond11Fish6_TimeLeft,184.94
Type,RD
FishN,14
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,0.651
Pond11Fish7_PondTime,54.438
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,913
Pond11Fish7_TimeLeft,175.916
Type,RD
FishN,14
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,6.666666666666667
Pond11Fish8_CatchTime,0.673
Pond11Fish8_PondTime,64.295
Pond11Fish8_PondOutcome,96
Pond11Fish8_TotalOutcome,925
Pond11Fish8_TimeLeft,166.059
Type,RD
FishN,14
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,7.5
Pond11Fish9_CatchTime,0.793
Pond11Fish9_PondTime,75.225
Pond11Fish9_PondOutcome,108
Pond11Fish9_TotalOutcome,937
Pond11Fish9_TimeLeft,155.129
PondEnd_LastFish,9
FishN,14
Type,RD
GiveUpTime,1.581
PondTime,75.797
TimeLeft,154.05
PondOutcome,108
TotalOutcome,937
PondStart,PondStart
PondIntroTime,14.495001954492182
Type,RT
FishN,19
Fish,1
Pond1Fish1_FishType,golden
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,0.864
Pond1Fish1_PondTime,7.602
Pond1Fish1_PondOutcome,20
Pond1Fish1_TotalOutcome,957
Pond1Fish1_TimeLeft,131.347
Type,RT
FishN,19
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,0.907
Pond1Fish2_PondTime,13.488
Pond1Fish2_PondOutcome,30
Pond1Fish2_TotalOutcome,967
Pond1Fish2_TimeLeft,125.461
Type,RT
FishN,19
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,0.82
Pond1Fish3_PondTime,19.594
Pond1Fish3_PondOutcome,40
Pond1Fish3_TotalOutcome,977
Pond1Fish3_TimeLeft,119.355
Type,RT
FishN,19
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,0.702
Pond1Fish4_PondTime,25.949
Pond1Fish4_PondOutcome,50
Pond1Fish4_TotalOutcome,987
Pond1Fish4_TimeLeft,113
Type,RT
FishN,19
Fish,5
Pond1Fish5_FishType,golden
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,0.5
Pond1Fish5_PondTime,32.594
Pond1Fish5_PondOutcome,70
Pond1Fish5_TotalOutcome,1007
Pond1Fish5_TimeLeft,106.355
Type,RT
FishN,19
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,0.683
Pond1Fish6_PondTime,39.566
Pond1Fish6_PondOutcome,80
Pond1Fish6_TotalOutcome,1017
Pond1Fish6_TimeLeft,99.383
Type,RT
FishN,19
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,0.797
Pond1Fish7_PondTime,46.923
Pond1Fish7_PondOutcome,90
Pond1Fish7_TotalOutcome,1027
Pond1Fish7_TimeLeft,92.026
Type,RT
FishN,19
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,0.613
Pond1Fish8_PondTime,54.736
Pond1Fish8_PondOutcome,100
Pond1Fish8_TotalOutcome,1037
Pond1Fish8_TimeLeft,84.213
Type,RT
FishN,19
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,5.454545454545454
Pond1Fish9_CatchTime,0.712
Pond1Fish9_PondTime,63.092
Pond1Fish9_PondOutcome,110
Pond1Fish9_TotalOutcome,1047
Pond1Fish9_TimeLeft,75.857
Type,RT
FishN,19
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,6
Pond1Fish10_CatchTime,0.639
Pond1Fish10_PondTime,72.118
Pond1Fish10_PondOutcome,120
Pond1Fish10_TotalOutcome,1057
Pond1Fish10_TimeLeft,66.831
Type,RT
FishN,19
Fish,11
Pond1Fish11_FishType,golden
Pond1Fish11_FishLatency,6.666666666666667
Pond1Fish11_CatchTime,0.777
Pond1Fish11_PondTime,81.975
Pond1Fish11_PondOutcome,140
Pond1Fish11_TotalOutcome,1077
Pond1Fish11_TimeLeft,56.974
Type,RT
FishN,19
Fish,12
Pond1Fish12_FishType,purple
Pond1Fish12_FishLatency,7.5
Pond1Fish12_CatchTime,0.761
Pond1Fish12_PondTime,92.907
Pond1Fish12_PondOutcome,150
Pond1Fish12_TotalOutcome,1087
Pond1Fish12_TimeLeft,46.042
Type,RT
FishN,19
Fish,13
Pond1Fish13_FishType,golden
Pond1Fish13_FishLatency,8.571428571428571
Pond1Fish13_CatchTime,0.79
Pond1Fish13_PondTime,105.264
Pond1Fish13_PondOutcome,170
Pond1Fish13_TotalOutcome,1107
Pond1Fish13_TimeLeft,33.685
Type,RT
FishN,19
Fish,14
Pond1Fish14_FishType,purple
Pond1Fish14_FishLatency,10
Pond1Fish14_CatchTime,0.697
Pond1Fish14_PondTime,119.624
Pond1Fish14_PondOutcome,180
Pond1Fish14_TotalOutcome,1117
Pond1Fish14_TimeLeft,19.325
PondEnd_LastFish,14
FishN,19
Type,RT
GiveUpTime,2.714
PondTime,121.236
TimeLeft,17.212
PondOutcome,180
TotalOutcome,1117
PondStart,PondStart
PondIntroTime,16.730763313826174
