,5c1a210b97ae160001392b05
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,15
Pond8Fish9_CatchTime,1.085
Pond8Fish9_PondTime,114.611
Pond8Fish9_PondOutcome,108
Pond8Fish9_TotalOutcome,182
Pond8Fish9_TimeLeft,992.783
PondEnd_LastFish,9
FishN,17
Type,RD
GiveUpTime,24.691
PondTime,138.597
TimeLeft,968.29
PondOutcome,108
TotalOutcome,182
PondStart,PondStart
PondIntroTime,10.162869188934565
Type,RT
FishN,13
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.1578947368421053
Pond12Fish1_CatchTime,1.518
Pond12Fish1_PondTime,7.617
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,192
Pond12Fish1_TimeLeft,949.849
Type,RT
FishN,13
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,3.3333333333333335
Pond12Fish2_CatchTime,1.19
Pond12Fish2_PondTime,13.527
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,202
Pond12Fish2_TimeLeft,943.939
Type,RT
FishN,13
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,3.5294117647058822
Pond12Fish3_CatchTime,0.957
Pond12Fish3_PondTime,19.676
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,212
Pond12Fish3_TimeLeft,937.79
Type,RT
FishN,13
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,3.75
Pond12Fish4_CatchTime,1.332
Pond12Fish4_PondTime,26.078
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,222
Pond12Fish4_TimeLeft,931.388
Type,RT
FishN,13
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,4
Pond12Fish5_CatchTime,1.585
Pond12Fish5_PondTime,32.742
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,232
Pond12Fish5_TimeLeft,924.724
Type,RT
FishN,13
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,4.285714285714286
Pond12Fish6_CatchTime,1.337
Pond12Fish6_PondTime,39.763
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,242
Pond12Fish6_TimeLeft,917.703
Type,RT
FishN,13
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,4.615384615384615
Pond12Fish7_CatchTime,0.961
Pond12Fish7_PondTime,47.164
Pond12Fish7_PondOutcome,70
Pond12Fish7_TotalOutcome,252
Pond12Fish7_TimeLeft,910.301
Type,RT
FishN,13
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,5
Pond12Fish8_CatchTime,1.11
Pond12Fish8_PondTime,54.998
Pond12Fish8_PondOutcome,80
Pond12Fish8_TotalOutcome,262
Pond12Fish8_TimeLeft,902.468
Type,RT
FishN,13
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,5.454545454545454
Pond12Fish9_CatchTime,1.275
Pond12Fish9_PondTime,63.399
Pond12Fish9_PondOutcome,90
Pond12Fish9_TotalOutcome,272
Pond12Fish9_TimeLeft,894.067
Type,RT
FishN,13
Fish,10
Pond12Fish10_FishType,golden
Pond12Fish10_FishLatency,6
Pond12Fish10_CatchTime,1.572
Pond12Fish10_PondTime,72.472
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,292
Pond12Fish10_TimeLeft,884.994
Type,RT
FishN,13
Fish,11
Pond12Fish11_FishType,purple
Pond12Fish11_FishLatency,6.666666666666667
Pond12Fish11_CatchTime,1.283
Pond12Fish11_PondTime,82.348
Pond12Fish11_PondOutcome,120
Pond12Fish11_TotalOutcome,302
Pond12Fish11_TimeLeft,875.118
Type,RT
FishN,13
Fish,12
Pond12Fish12_FishType,purple
Pond12Fish12_FishLatency,7.5
Pond12Fish12_CatchTime,1.558
Pond12Fish12_PondTime,93.301
Pond12Fish12_PondOutcome,130
Pond12Fish12_TotalOutcome,312
Pond12Fish12_TimeLeft,864.164
PondEnd_LastFish,12
FishN,13
Type,RT
GiveUpTime,7.763
PondTime,100.838
TimeLeft,856.123
PondOutcome,130
TotalOutcome,312
PondStart,PondStart
PondIntroTime,11.97887924965471
Type,RD
FishN,16
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,1.302
Pond4Fish1_PondTime,8.31
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,324
Pond4Fish1_TimeLeft,835.177
Type,RD
FishN,16
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,-1
Pond4Fish2_PondTime,15.048
Pond4Fish2_PondOutcome,12
Pond4Fish2_TotalOutcome,324
Pond4Fish2_TimeLeft,828.438
Type,RD
FishN,16
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,1.136
Pond4Fish3_PondTime,22.06
Pond4Fish3_PondOutcome,24
Pond4Fish3_TotalOutcome,336
Pond4Fish3_TimeLeft,821.427
Type,RD
FishN,16
Fish,4
Pond4Fish4_FishType,gray
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,1.631
Pond4Fish4_PondTime,29.457
Pond4Fish4_PondOutcome,26
Pond4Fish4_TotalOutcome,338
Pond4Fish4_TimeLeft,814.03
Type,RD
FishN,16
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,5
Pond4Fish5_CatchTime,1.154
Pond4Fish5_PondTime,37.295
Pond4Fish5_PondOutcome,38
Pond4Fish5_TotalOutcome,350
Pond4Fish5_TimeLeft,806.192
Type,RD
FishN,16
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,5.454545454545454
Pond4Fish6_CatchTime,1.768
Pond4Fish6_PondTime,45.754
Pond4Fish6_PondOutcome,50
Pond4Fish6_TotalOutcome,362
Pond4Fish6_TimeLeft,797.733
Type,RD
FishN,16
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,6
Pond4Fish7_CatchTime,1.115
Pond4Fish7_PondTime,54.796
Pond4Fish7_PondOutcome,62
Pond4Fish7_TotalOutcome,374
Pond4Fish7_TimeLeft,788.691
Type,RD
FishN,16
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,6.666666666666667
Pond4Fish8_CatchTime,1.354
Pond4Fish8_PondTime,64.697
Pond4Fish8_PondOutcome,74
Pond4Fish8_TotalOutcome,386
Pond4Fish8_TimeLeft,778.79
Type,RD
FishN,16
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,7.5
Pond4Fish9_CatchTime,1.443
Pond4Fish9_PondTime,75.664
Pond4Fish9_PondOutcome,86
Pond4Fish9_TotalOutcome,398
Pond4Fish9_TimeLeft,767.823
Type,RD
FishN,16
Fish,10
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,8.571428571428571
Pond4Fish10_CatchTime,1.292
Pond4Fish10_PondTime,88.033
Pond4Fish10_PondOutcome,98
Pond4Fish10_TotalOutcome,410
Pond4Fish10_TimeLeft,755.454
Type,RD
FishN,16
Fish,11
Pond4Fish11_FishType,blue
Pond4Fish11_FishLatency,10
Pond4Fish11_CatchTime,1.417
Pond4Fish11_PondTime,102.429
Pond4Fish11_PondOutcome,110
Pond4Fish11_TotalOutcome,422
Pond4Fish11_TimeLeft,741.058
PondEnd_LastFish,11
FishN,16
Type,RD
GiveUpTime,1.028
PondTime,103.07
TimeLeft,739.912
PondOutcome,110
TotalOutcome,422
PondStart,PondStart
PondIntroTime,15.184140696655959
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,1.425
Pond2Fish1_PondTime,7.619
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,434
Pond2Fish1_TimeLeft,716.403
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,1.175
Pond2Fish2_PondTime,13.522
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,446
Pond2Fish2_TimeLeft,710.5
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,1.164
Pond2Fish3_PondTime,19.654
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,458
Pond2Fish3_TimeLeft,704.368
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,1.074
Pond2Fish4_PondTime,26.059
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,470
Pond2Fish4_TimeLeft,697.963
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,1.183
Pond2Fish5_PondTime,32.724
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,482
Pond2Fish5_TimeLeft,691.297
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,1.314
Pond2Fish6_PondTime,39.717
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,494
Pond2Fish6_TimeLeft,684.305
Type,RD
FishN,12
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,1.213
Pond2Fish7_PondTime,47.121
Pond2Fish7_PondOutcome,84
Pond2Fish7_TotalOutcome,506
Pond2Fish7_TimeLeft,676.901
Type,RD
FishN,12
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,1.534
Pond2Fish8_PondTime,54.959
Pond2Fish8_PondOutcome,96
Pond2Fish8_TotalOutcome,518
Pond2Fish8_TimeLeft,669.063
Type,RD
FishN,12
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,1.106
Pond2Fish9_PondTime,63.344
Pond2Fish9_PondOutcome,108
Pond2Fish9_TotalOutcome,530
Pond2Fish9_TimeLeft,660.678
Type,RD
FishN,12
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,1.414
Pond2Fish10_PondTime,72.408
Pond2Fish10_PondOutcome,120
Pond2Fish10_TotalOutcome,542
Pond2Fish10_TimeLeft,651.614
Type,RD
FishN,12
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,1.171
Pond2Fish11_PondTime,82.312
Pond2Fish11_PondOutcome,132
Pond2Fish11_TotalOutcome,554
Pond2Fish11_TimeLeft,641.71
Type,RD
FishN,12
Fish,12
Pond2Fish12_FishType,blue
Pond2Fish12_FishLatency,7.5
Pond2Fish12_CatchTime,1.537
Pond2Fish12_PondTime,93.263
Pond2Fish12_PondOutcome,144
Pond2Fish12_TotalOutcome,566
Pond2Fish12_TimeLeft,630.759
Type,RD
FishN,12
Fish,13
Pond2Fish13_FishType,blue
Pond2Fish13_FishLatency,8.571428571428571
Pond2Fish13_CatchTime,1.365
Pond2Fish13_PondTime,105.648
Pond2Fish13_PondOutcome,156
Pond2Fish13_TotalOutcome,578
Pond2Fish13_TimeLeft,618.374
Type,RD
FishN,12
Fish,14
Pond2Fish14_FishType,blue
Pond2Fish14_FishLatency,10
Pond2Fish14_CatchTime,1.27
Pond2Fish14_PondTime,120.024
Pond2Fish14_PondOutcome,168
Pond2Fish14_TotalOutcome,590
Pond2Fish14_TimeLeft,603.997
PondEnd_LastFish,14
FishN,12
Type,RD
GiveUpTime,1.31
PondTime,120.831
TimeLeft,602.688
PondOutcome,168
TotalOutcome,590
PondStart,PondStart
PondIntroTime,12.581068638246506
Type,N
FishN,14
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,1.831
Pond11Fish1_PondTime,7.968
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,601
