,5b848525338a930001566c95
Pond6Fish8_PondOutcome,90
Pond6Fish8_TotalOutcome,877
Pond6Fish8_TimeLeft,312.882
Type,RT
FishN,19
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,2.021
Pond6Fish9_PondTime,70.496
Pond6Fish9_PondOutcome,100
Pond6Fish9_TotalOutcome,887
Pond6Fish9_TimeLeft,302.972
PondEnd_LastFish,9
FishN,19
Type,RT
GiveUpTime,4.504
PondTime,74.9
TimeLeft,298.064
PondOutcome,100
TotalOutcome,887
PondStart,PondStart
PondIntroTime,17.358622923493385
Type,RT
FishN,14
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4.615384615384615
Pond11Fish1_CatchTime,1.592
Pond11Fish1_PondTime,9.276
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,897
Pond11Fish1_TimeLeft,270.802
Type,RT
FishN,14
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,1.426
Pond11Fish2_PondTime,17.084
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,907
Pond11Fish2_TimeLeft,262.994
Type,RT
FishN,14
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,0.792
Pond11Fish3_PondTime,25.445
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,917
Pond11Fish3_TimeLeft,254.633
Type,RT
FishN,14
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,1.408
Pond11Fish4_PondTime,34.47
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,927
Pond11Fish4_TimeLeft,245.608
PondEnd_LastFish,4
FishN,14
Type,RT
GiveUpTime,1.553
PondTime,35.64
TimeLeft,243.934
PondOutcome,40
TotalOutcome,927
PondStart,PondStart
PondIntroTime,11.558134348597378
Type,RD
FishN,16
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,0.819
Pond4Fish1_PondTime,8.275
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,939
Pond4Fish1_TimeLeft,223.481
Type,RD
FishN,16
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,0.606
Pond4Fish2_PondTime,14.915
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,951
Pond4Fish2_TimeLeft,216.841
Type,RD
FishN,16
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,0.611
Pond4Fish3_PondTime,21.89
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,963
Pond4Fish3_TimeLeft,209.867
Type,RD
FishN,16
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,0.772
Pond4Fish4_PondTime,29.249
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,975
Pond4Fish4_TimeLeft,202.508
Type,RD
FishN,16
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,5
Pond4Fish5_CatchTime,1.289
Pond4Fish5_PondTime,37.057
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,987
Pond4Fish5_TimeLeft,194.7
Type,RD
FishN,16
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,5.454545454545454
Pond4Fish6_CatchTime,0.61
Pond4Fish6_PondTime,45.416
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,999
Pond4Fish6_TimeLeft,186.341
Type,RD
FishN,16
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,6
Pond4Fish7_CatchTime,0.76
Pond4Fish7_PondTime,54.444
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,1011
Pond4Fish7_TimeLeft,177.313
Type,RD
FishN,16
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,6.666666666666667
Pond4Fish8_CatchTime,0.644
Pond4Fish8_PondTime,64.305
Pond4Fish8_PondOutcome,96
Pond4Fish8_TotalOutcome,1023
Pond4Fish8_TimeLeft,167.452
Type,RD
FishN,16
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,7.5
Pond4Fish9_CatchTime,0.694
Pond4Fish9_PondTime,75.233
Pond4Fish9_PondOutcome,108
Pond4Fish9_TotalOutcome,1035
Pond4Fish9_TimeLeft,156.523
Type,RD
FishN,16
Fish,10
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,8.571428571428571
Pond4Fish10_CatchTime,1.369
Pond4Fish10_PondTime,87.598
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,1047
Pond4Fish10_TimeLeft,144.159
Type,RD
FishN,16
Fish,11
Pond4Fish11_FishType,blue
Pond4Fish11_FishLatency,10
Pond4Fish11_CatchTime,0.575
Pond4Fish11_PondTime,101.964
Pond4Fish11_PondOutcome,132
Pond4Fish11_TotalOutcome,1059
Pond4Fish11_TimeLeft,129.793
PondEnd_LastFish,11
FishN,16
Type,RD
GiveUpTime,2.034
PondTime,102.781
TimeLeft,128.472
PondOutcome,132
TotalOutcome,1059
PondStart,PondStart
PondIntroTime,17.190297306515276
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,1.761
Pond6Fish1_PondTime,9.467
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,1069
Pond6Fish1_TimeLeft,99.608
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,0.861
Pond6Fish2_PondTime,16.443
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,1079
Pond6Fish2_TimeLeft,92.632
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,1.16
Pond6Fish3_PondTime,23.799
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,1089
Pond6Fish3_TimeLeft,85.276
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,golden
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,1.065
Pond6Fish4_PondTime,31.624
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,1109
Pond6Fish4_TimeLeft,77.451
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,0.929
Pond6Fish5_PondTime,39.986
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,1119
Pond6Fish5_TimeLeft,69.089
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,1.022
Pond6Fish6_PondTime,49.01
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,1129
Pond6Fish6_TimeLeft,60.064
Type,RT
FishN,19
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,6.666666666666667
Pond6Fish7_CatchTime,0.945
Pond6Fish7_PondTime,58.872
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,1139
Pond6Fish7_TimeLeft,50.203
PondEnd_LastFish,7
FishN,19
Type,RT
GiveUpTime,9.639
PondTime,67.662
TimeLeft,40.912
PondOutcome,80
TotalOutcome,1139
PondStart,PondStart
PondIntroTime,16.10502164810896
