,5b848525338a930001566c95
PondIntroTime,18.549137159716338
Type,RT
FishN,19
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,0.912
Pond1Fish1_PondTime,7.606
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,167
Pond1Fish1_TimeLeft,1007.62
Type,RT
FishN,19
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,1.614
Pond1Fish2_PondTime,13.498
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,177
Pond1Fish2_TimeLeft,1001.728
Type,RT
FishN,19
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,0.864
Pond1Fish3_PondTime,19.606
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,187
Pond1Fish3_TimeLeft,995.621
Type,RT
FishN,19
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,1.625
Pond1Fish4_PondTime,25.962
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,197
Pond1Fish4_TimeLeft,989.265
Type,RT
FishN,19
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,0.843
Pond1Fish5_PondTime,32.604
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,207
Pond1Fish5_TimeLeft,982.623
Type,RT
FishN,19
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,1.019
Pond1Fish6_PondTime,39.575
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,217
Pond1Fish6_TimeLeft,975.652
Type,RT
FishN,19
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,0.807
Pond1Fish7_PondTime,46.937
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,227
Pond1Fish7_TimeLeft,968.29
Type,RT
FishN,19
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,0.529
Pond1Fish8_PondTime,54.761
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,237
Pond1Fish8_TimeLeft,960.466
Type,RT
FishN,19
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,5.454545454545454
Pond1Fish9_CatchTime,1.183
Pond1Fish9_PondTime,63.121
Pond1Fish9_PondOutcome,90
Pond1Fish9_TotalOutcome,247
Pond1Fish9_TimeLeft,952.106
Type,RT
FishN,19
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,6
Pond1Fish10_CatchTime,0.832
Pond1Fish10_PondTime,72.148
Pond1Fish10_PondOutcome,100
Pond1Fish10_TotalOutcome,257
Pond1Fish10_TimeLeft,943.079
Type,RT
FishN,19
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,6.666666666666667
Pond1Fish11_CatchTime,0.914
Pond1Fish11_PondTime,82.009
Pond1Fish11_PondOutcome,110
Pond1Fish11_TotalOutcome,267
Pond1Fish11_TimeLeft,933.218
Type,RT
FishN,19
Fish,12
Pond1Fish12_FishType,purple
Pond1Fish12_FishLatency,7.5
Pond1Fish12_CatchTime,0.945
Pond1Fish12_PondTime,92.935
Pond1Fish12_PondOutcome,120
Pond1Fish12_TotalOutcome,277
Pond1Fish12_TimeLeft,922.291
PondEnd_LastFish,12
FishN,19
Type,RT
GiveUpTime,5.856
PondTime,97.942
TimeLeft,916.783
PondOutcome,120
TotalOutcome,277
PondStart,PondStart
PondIntroTime,14.991851646918803
Type,RT
