,5cd98287b0c5ec0001e0965a
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,0.595
Pond8Fish4_PondTime,25.998
Pond8Fish4_PondOutcome,50
Pond8Fish4_TotalOutcome,877
Pond8Fish4_TimeLeft,209.548
Type,RT
FishN,17
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,4
Pond8Fish5_CatchTime,1.026
Pond8Fish5_PondTime,32.646
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,887
Pond8Fish5_TimeLeft,202.9
Type,RT
FishN,17
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,4.285714285714286
Pond8Fish6_CatchTime,1.017
Pond8Fish6_PondTime,39.63
Pond8Fish6_PondOutcome,70
Pond8Fish6_TotalOutcome,897
Pond8Fish6_TimeLeft,195.916
Type,RT
FishN,17
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,4.615384615384615
Pond8Fish7_CatchTime,0.806
Pond8Fish7_PondTime,46.995
Pond8Fish7_PondOutcome,80
Pond8Fish7_TotalOutcome,907
Pond8Fish7_TimeLeft,188.551
Type,RT
FishN,17
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,5
Pond8Fish8_CatchTime,0.691
Pond8Fish8_PondTime,54.811
Pond8Fish8_PondOutcome,90
Pond8Fish8_TotalOutcome,917
Pond8Fish8_TimeLeft,180.735
Type,RT
FishN,17
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,5.454545454545454
Pond8Fish9_CatchTime,0.941
Pond8Fish9_PondTime,63.176
Pond8Fish9_PondOutcome,100
Pond8Fish9_TotalOutcome,927
Pond8Fish9_TimeLeft,172.369
Type,RT
FishN,17
Fish,10
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,6
Pond8Fish10_CatchTime,0.779
Pond8Fish10_PondTime,72.209
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,937
Pond8Fish10_TimeLeft,163.337
PondEnd_LastFish,10
FishN,17
Type,RT
GiveUpTime,1.033
PondTime,72.223
TimeLeft,162.821
PondOutcome,110
TotalOutcome,937
PondStart,PondStart
PondIntroTime,16.18695658398792
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,0.762
Pond5Fish1_PondTime,8.884
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,947
Pond5Fish1_TimeLeft,137.123
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,0.897
Pond5Fish2_PondTime,16.25
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,957
Pond5Fish2_TimeLeft,129.757
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,0.642
Pond5Fish3_PondTime,24.065
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,967
Pond5Fish3_TimeLeft,121.942
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.024
Pond5Fish4_PondTime,32.43
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,977
Pond5Fish4_TimeLeft,113.577
PondEnd_LastFish,4
FishN,12
Type,RT
GiveUpTime,1.774
PondTime,33.436
TimeLeft,112.069
PondOutcome,40
TotalOutcome,977
PondStart,PondStart
PondIntroTime,17.09664250491187
Type,RD
FishN,15
Fish,1
Pond7Fish1_FishType,gray
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,0.818
Pond7Fish1_PondTime,7.8
Pond7Fish1_PondOutcome,2
Pond7Fish1_TotalOutcome,979
Pond7Fish1_TimeLeft,86.564
Type,RD
FishN,15
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,0.74
Pond7Fish2_PondTime,13.916
Pond7Fish2_PondOutcome,14
Pond7Fish2_TotalOutcome,991
Pond7Fish2_TimeLeft,80.448
Type,RD
FishN,15
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,1.104
Pond7Fish3_PondTime,20.283
Pond7Fish3_PondOutcome,26
Pond7Fish3_TotalOutcome,1003
Pond7Fish3_TimeLeft,74.08
Type,RD
FishN,15
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,0.994
Pond7Fish4_PondTime,26.932
Pond7Fish4_PondOutcome,38
Pond7Fish4_TotalOutcome,1015
Pond7Fish4_TimeLeft,67.432
Type,RD
FishN,15
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,0.644
Pond7Fish5_PondTime,33.914
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,1027
Pond7Fish5_TimeLeft,60.45
Type,RD
FishN,15
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,0.724
Pond7Fish6_PondTime,41.279
Pond7Fish6_PondOutcome,62
Pond7Fish6_TotalOutcome,1039
Pond7Fish6_TimeLeft,53.085
Type,RD
FishN,15
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,5
Pond7Fish7_CatchTime,1.177
Pond7Fish7_PondTime,49.096
Pond7Fish7_PondOutcome,74
Pond7Fish7_TotalOutcome,1051
Pond7Fish7_TimeLeft,45.268
Type,RD
FishN,15
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,5.454545454545454
Pond7Fish8_CatchTime,0.797
Pond7Fish8_PondTime,57.461
Pond7Fish8_PondOutcome,86
Pond7Fish8_TotalOutcome,1063
Pond7Fish8_TimeLeft,36.903
Type,RD
FishN,15
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,6
Pond7Fish9_CatchTime,0.973
Pond7Fish9_PondTime,66.495
Pond7Fish9_PondOutcome,98
Pond7Fish9_TotalOutcome,1075
Pond7Fish9_TimeLeft,27.869
Type,RD
FishN,15
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,6.666666666666667
Pond7Fish10_CatchTime,0.831
Pond7Fish10_PondTime,76.359
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,1087
Pond7Fish10_TimeLeft,18.005
Type,RD
FishN,15
Fish,11
Pond7Fish11_FishType,blue
Pond7Fish11_FishLatency,7.5
Pond7Fish11_CatchTime,1.278
Pond7Fish11_PondTime,87.29
Pond7Fish11_PondOutcome,122
Pond7Fish11_TotalOutcome,1099
Pond7Fish11_TimeLeft,7.073
