,5dfe2d266552efac7758576e
Type,RT
FishN,16
Fish,8
Pond9Fish8_FishType,golden
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,1.142
Pond9Fish8_PondTime,60.946
Pond9Fish8_PondOutcome,90
Pond9Fish8_TotalOutcome,178
Pond9Fish8_TimeLeft,1007.474
Type,RT
FishN,16
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,1.191
Pond9Fish9_PondTime,70.831
Pond9Fish9_PondOutcome,100
Pond9Fish9_TotalOutcome,188
Pond9Fish9_TimeLeft,997.589
Type,RT
FishN,16
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,1.224
Pond9Fish10_PondTime,81.803
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,198
Pond9Fish10_TimeLeft,986.617
Type,RT
FishN,16
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,1.003
Pond9Fish11_PondTime,94.208
Pond9Fish11_PondOutcome,120
Pond9Fish11_TotalOutcome,208
Pond9Fish11_TimeLeft,974.212
Type,RT
FishN,16
Fish,12
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,10
Pond9Fish12_CatchTime,0.961
Pond9Fish12_PondTime,108.59
Pond9Fish12_PondOutcome,130
Pond9Fish12_TotalOutcome,218
Pond9Fish12_TimeLeft,959.83
PondEnd_LastFish,12
FishN,16
Type,RT
GiveUpTime,0.841
PondTime,108.598
TimeLeft,959.32
PondOutcome,130
TotalOutcome,218
PondStart,PondStart
PondIntroTime,10.02589957555756
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.5294117647058822
Pond2Fish1_CatchTime,0.811
Pond2Fish1_PondTime,8.085
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,230
Pond2Fish1_TimeLeft,940.569
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.75
Pond2Fish2_CatchTime,0.738
Pond2Fish2_PondTime,14.469
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,242
Pond2Fish2_TimeLeft,934.185
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4
Pond2Fish3_CatchTime,1.122
Pond2Fish3_PondTime,21.166
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,254
Pond2Fish3_TimeLeft,927.488
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4.285714285714286
Pond2Fish4_CatchTime,1.107
Pond2Fish4_PondTime,28.173
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,266
Pond2Fish4_TimeLeft,920.481
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4.615384615384615
Pond2Fish5_CatchTime,0.951
Pond2Fish5_PondTime,35.574
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,278
Pond2Fish5_TimeLeft,913.08
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,5
Pond2Fish6_CatchTime,1.12
Pond2Fish6_PondTime,43.423
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,290
Pond2Fish6_TimeLeft,905.231
Type,RD
FishN,12
Fish,7
Pond2Fish7_FishType,gray
Pond2Fish7_FishLatency,5.454545454545454
Pond2Fish7_CatchTime,1.321
Pond2Fish7_PondTime,51.838
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,292
Pond2Fish7_TimeLeft,896.816
Type,RD
FishN,12
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,6
Pond2Fish8_CatchTime,1.052
Pond2Fish8_PondTime,60.893
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,304
Pond2Fish8_TimeLeft,887.761
Type,RD
FishN,12
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,6.666666666666667
Pond2Fish9_CatchTime,1.163
Pond2Fish9_PondTime,70.794
Pond2Fish9_PondOutcome,98
Pond2Fish9_TotalOutcome,316
Pond2Fish9_TimeLeft,877.86
Type,RD
FishN,12
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,7.5
Pond2Fish10_CatchTime,1.052
Pond2Fish10_PondTime,81.769
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,328
Pond2Fish10_TimeLeft,866.885
Type,RD
FishN,12
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,8.571428571428571
Pond2Fish11_CatchTime,0.966
Pond2Fish11_PondTime,94.167
Pond2Fish11_PondOutcome,122
Pond2Fish11_TotalOutcome,340
Pond2Fish11_TimeLeft,854.487
PondEnd_LastFish,11
FishN,12
Type,RD
GiveUpTime,0.836
PondTime,94.169
TimeLeft,853.984
PondOutcome,122
TotalOutcome,340
PondStart,PondStart
PondIntroTime,12.139081065542996
Type,N
FishN,14
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,1.068
Pond11Fish1_PondTime,7.868
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,351
Pond11Fish1_TimeLeft,833.349
Type,N
FishN,14
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,0.855
Pond11Fish2_PondTime,13.991
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,362
Pond11Fish2_TimeLeft,827.226
Type,N
FishN,14
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,0.821
Pond11Fish3_PondTime,20.399
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,373
Pond11Fish3_TimeLeft,820.818
Type,N
FishN,14
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,0.848
Pond11Fish4_PondTime,27.091
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,384
Pond11Fish4_TimeLeft,814.126
Type,N
FishN,14
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,0.726
Pond11Fish5_PondTime,34.113
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,395
Pond11Fish5_TimeLeft,807.104
Type,N
FishN,14
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,1.096
Pond11Fish6_PondTime,41.515
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,406
Pond11Fish6_TimeLeft,799.702
Type,N
FishN,14
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,0.929
Pond11Fish7_PondTime,49.371
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,417
Pond11Fish7_TimeLeft,791.846
Type,N
FishN,14
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,1.045
Pond11Fish8_PondTime,57.764
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,428
Pond11Fish8_TimeLeft,783.453
Type,N
FishN,14
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,0.846
Pond11Fish9_PondTime,66.816
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,439
Pond11Fish9_TimeLeft,774.401
Type,N
FishN,14
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,6.666666666666667
Pond11Fish10_CatchTime,0.873
Pond11Fish10_PondTime,76.707
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,450
Pond11Fish10_TimeLeft,764.51
PondEnd_LastFish,10
FishN,14
Type,N
GiveUpTime,0.812
PondTime,87.566
TimeLeft,753.15
PondOutcome,110
TotalOutcome,450
PondStart,PondStart
PondIntroTime,18.248996164184064
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.75
Pond6Fish1_CatchTime,1.047
Pond6Fish1_PondTime,8.343
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,460
Pond6Fish1_TimeLeft,725.856
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,4
Pond6Fish2_CatchTime,0.746
Pond6Fish2_PondTime,15.017
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,470
Pond6Fish2_TimeLeft,719.182
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4.285714285714286
Pond6Fish3_CatchTime,1.109
Pond6Fish3_PondTime,22.037
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,480
Pond6Fish3_TimeLeft,712.162
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4.615384615384615
Pond6Fish4_CatchTime,0.928
Pond6Fish4_PondTime,29.438
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,490
Pond6Fish4_TimeLeft,704.761
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,golden
Pond6Fish5_FishLatency,5
Pond6Fish5_CatchTime,0.793
Pond6Fish5_PondTime,37.294
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,510
Pond6Fish5_TimeLeft,696.905
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,5.454545454545454
Pond6Fish6_CatchTime,1.18
Pond6Fish6_PondTime,45.691
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,520
Pond6Fish6_TimeLeft,688.508
Type,RT
FishN,19
Fish,7
Pond6Fish7_FishType,golden
Pond6Fish7_FishLatency,6
Pond6Fish7_CatchTime,0.825
Pond6Fish7_PondTime,54.742
Pond6Fish7_PondOutcome,90
Pond6Fish7_TotalOutcome,540
Pond6Fish7_TimeLeft,679.457
Type,RT
FishN,19
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,6.666666666666667
Pond6Fish8_CatchTime,0.95
Pond6Fish8_PondTime,64.625
Pond6Fish8_PondOutcome,100
Pond6Fish8_TotalOutcome,550
Pond6Fish8_TimeLeft,669.574
Type,RT
FishN,19
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,7.5
Pond6Fish9_CatchTime,0.747
Pond6Fish9_PondTime,75.6
Pond6Fish9_PondOutcome,110
Pond6Fish9_TotalOutcome,560
Pond6Fish9_TimeLeft,658.599
Type,RT
FishN,19
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,8.571428571428571
Pond6Fish10_CatchTime,0.752
Pond6Fish10_PondTime,88.003
Pond6Fish10_PondOutcome,120
Pond6Fish10_TotalOutcome,570
Pond6Fish10_TimeLeft,646.196
Type,RT
FishN,19
Fish,11
Pond6Fish11_FishType,golden
