,5dfe2d266552efac7758576e
Pond1Fish11_CatchTime,0.842
Pond1Fish11_PondTime,82.37
Pond1Fish11_PondOutcome,120
Pond1Fish11_TotalOutcome,930
Pond1Fish11_TimeLeft,245.188
Type,RT
FishN,19
Fish,12
Pond1Fish12_FishType,purple
Pond1Fish12_FishLatency,7.5
Pond1Fish12_CatchTime,0.911
Pond1Fish12_PondTime,93.341
Pond1Fish12_PondOutcome,130
Pond1Fish12_TotalOutcome,940
Pond1Fish12_TimeLeft,234.217
Type,RT
FishN,19
Fish,13
Pond1Fish13_FishType,purple
Pond1Fish13_FishLatency,8.571428571428571
Pond1Fish13_CatchTime,0.655
Pond1Fish13_PondTime,105.744
Pond1Fish13_PondOutcome,140
Pond1Fish13_TotalOutcome,950
Pond1Fish13_TimeLeft,221.814
PondEnd_LastFish,13
FishN,19
Type,RT
GiveUpTime,0.605
PondTime,119.734
TimeLeft,207.323
PondOutcome,140
TotalOutcome,950
PondStart,PondStart
PondIntroTime,13.991849736776203
Type,N
FishN,16
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,5
Pond4Fish1_CatchTime,0.932
Pond4Fish1_PondTime,9.785
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,961
Pond4Fish1_TimeLeft,182.873
Type,N
FishN,16
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,5.454545454545454
Pond4Fish2_CatchTime,0.998
Pond4Fish2_PondTime,18.172
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,972
Pond4Fish2_TimeLeft,174.486
Type,N
FishN,16
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,6
Pond4Fish3_CatchTime,0.73
Pond4Fish3_PondTime,27.228
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,983
Pond4Fish3_TimeLeft,165.43
Type,N
FishN,16
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,6.666666666666667
Pond4Fish4_CatchTime,0.715
Pond4Fish4_PondTime,37.135
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,994
Pond4Fish4_TimeLeft,155.522
Type,N
FishN,16
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,7.5
Pond4Fish5_CatchTime,0.924
Pond4Fish5_PondTime,48.121
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,1005
Pond4Fish5_TimeLeft,144.537
Type,N
FishN,16
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,8.571428571428571
Pond4Fish6_CatchTime,0.941
Pond4Fish6_PondTime,60.52
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,1016
Pond4Fish6_TimeLeft,132.138
PondEnd_LastFish,6
FishN,16
Type,N
GiveUpTime,0.651
PondTime,74.587
TimeLeft,117.57
PondOutcome,66
TotalOutcome,1016
PondStart,PondStart
PondIntroTime,16.961794460657984
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,1.075
Pond5Fish1_PondTime,9.789
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,1027
Pond5Fish1_TimeLeft,90.134
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,1.173
Pond5Fish2_PondTime,18.18
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,1038
Pond5Fish2_TimeLeft,81.743
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,0.788
Pond5Fish3_PondTime,27.245
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,1049
Pond5Fish3_TimeLeft,72.678
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,0.914
Pond5Fish4_PondTime,37.135
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,1060
Pond5Fish4_TimeLeft,62.788
PondEnd_LastFish,4
FishN,12
Type,N
GiveUpTime,0.349
PondTime,47.464
TimeLeft,51.958
PondOutcome,44
TotalOutcome,1060
PondStart,PondStart
PondIntroTime,18.99093847721815
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.1578947368421053
Pond12Fish1_CatchTime,0.797
Pond12Fish1_PondTime,7.655
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,1072
Pond12Fish1_TimeLeft,24.65
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.3333333333333335
Pond12Fish2_CatchTime,0.838
Pond12Fish2_PondTime,13.561
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,1084
Pond12Fish2_TimeLeft,18.744
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,3.5294117647058822
Pond12Fish3_CatchTime,0.873
Pond12Fish3_PondTime,19.684
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,1096
Pond12Fish3_TimeLeft,12.621
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,3.75
Pond12Fish4_CatchTime,0.805
Pond12Fish4_PondTime,26.076
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,1108
Pond12Fish4_TimeLeft,6.229
